trailhead_name,letter_number
Highline Trail - Hayden Pass western end,Z-46
Lakefork/Moon Lake,LF-21
Lakefork/Moon Lake,LF-22
Lakefork/Moon Lake,LF-25
Lakefork/Moon Lake,LF-30
Lakefork/Moon Lake,LF-44
Lakefork/Moon Lake,X-31
Lakefork/Moon Lake,X-32
Lakefork/Moon Lake,X-33
Lakefork/Moon Lake,X-34
Lakefork/Moon Lake,X-35
Lakefork/Moon Lake,X-36
Lakefork/Moon Lake,X-37
Lakefork/Moon Lake,X-63
Lakefork/Moon Lake,X-64
Lakefork/Moon Lake,X-66
Lakefork/Moon Lake,X-74
Lakefork/Moon Lake,X-77
Lakefork/Moon Lake,X-79
Lakefork/Moon Lake,X-81
Lakefork/Moon Lake,X-82
Lakefork/Moon Lake,X-87
Lakefork/Moon Lake,X-88
Lakefork/Moon Lake,X-90
Lakefork/Moon Lake,X-94
Ledgefork--The Erickson Basin Trailhead,A-57
Ledgefork--The Erickson Basin Trailhead,W-25
Ledgefork--The Erickson Basin Trailhead,W-26
Ledgefork--The Erickson Basin Trailhead,W-58
Ledgefork--The Erickson Basin Trailhead,W-64
Middle fork of Blacks Fork,G-73
Mirror Lake,RC-30
Mirror Lake,X-1
Mirror Lake,X-10
Mirror Lake,X-11
Mirror Lake,X-12
Mirror Lake,X-13
Mirror Lake,X-14
Mirror Lake,X-15
Mirror Lake,X-2
Mirror Lake,X-22
Mirror Lake,X-3
Mirror Lake,X-5
Mirror Lake,X-6
Mirror Lake,X-7
Mirror Lake,X-8
Mirror Lake,X-9
Mirror Lake,Z-20
Mirror Lake,Z-23
Mirror Lake,Z-24
Mirror Lake,Z-25
Mirror Lake,Z-28
Mirror Lake,Z-29
Mirror Lake,Z-30
Mirror Lake,Z-4
Murdock area (no real trailhead),D-33
Murdock area (no real trailhead),D-40
Pass Lake,D-14
Pass Lake,W-27
Pass Lake,W-40
Pass Lake,W-41
Pass Lake,W-42
Pass Lake,W-43
Pass Lake,W-44
Pass Lake,W-45
Pass Lake,W-46
Pass Lake,Z-12
Pass Lake,Z-5
Rock Creek,RC-14
Rock Creek,RC-20
Rock Creek,RC-23
Rock Creek,RC-3
Rock Creek,RC-38
Rock Creek,RC-4
Rock Creek,RC-42
Rock Creek,RC-43
Rock Creek,RC-45
Rock Creek,X-100
Rock Creek,X-111
Rock Creek,X-112
Rock Creek,X-117
Rock Creek,X-119
Rock Creek,X-121
Rock Creek,X-124
Rock Creek,X-125
Rock Creek,X-126
Rock Creek,X-127
Rock Creek,X-128
Rock Creek,X-129
Rock Creek,X-130
Rock Creek,X-131
Rock Creek,X-132
Rock Creek,X-133
Rock Creek,X-39
Rock Creek,X-40
Rock Creek,X-41
Rock Creek,X-42
Rock Creek,X-43
Rock Creek,X-95
Rock Creek,X-96
Rock Creek,X-97
Rock Creek,X-98
Rock Creek,X-99
Shingle Creek,A-18
Shingle Creek,A-19
Shingle Creek,A-48
Shingle Creek,P-62
Shingle Creek,P-8
Spirit Lake area,GR-125
Spirit Lake area,GR-127
Spirit Lake area,GR-128
Spirit Lake area,GR-130
Spirit Lake area,GR-131
Spirit Lake area,GR-132
Spirit Lake area,GR-133
Spirit Lake area,GR-134
Spirit Lake area,GR-135
Spirit-Tamarack Trail No. 024,GR-1
Spirit-Tamarack Trail No. 024,GR-11
Spirit-Tamarack Trail No. 024,GR-112
Spirit-Tamarack Trail No. 024,GR-115
Spirit-Tamarack Trail No. 024,GR-116
Spirit-Tamarack Trail No. 024,GR-2
Spirit-Tamarack Trail No. 024,GR-25
Spirit-Tamarack Trail No. 024,GR-4
Spirit-Tamarack Trail No. 024,GR-5
Swift Creek,S-15
Swift Creek,X-16
Swift Creek,X-17
Swift Creek,X-18
Swift Creek,X-19
Swift Creek,X-20
Swift Creek,X-21
Swift Creek,X-23
Swift Creek,X-54
Swift Creek,X-55
Swift Creek,X-56
Swift Creek,X-77
Swift Creek,Y-22
Swift Creek,Y-25
"Uinta (River, Canyon)",G-73
"Uinta (River, Canyon)",U-1
"Uinta (River, Canyon)",U-13
"Uinta (River, Canyon)",U-14
"Uinta (River, Canyon)",U-15
"Uinta (River, Canyon)",U-16
"Uinta (River, Canyon)",U-17
"Uinta (River, Canyon)",U-18
"Uinta (River, Canyon)",U-2
"Uinta (River, Canyon)",U-21
"Uinta (River, Canyon)",U-25
"Uinta (River, Canyon)",U-26
"Uinta (River, Canyon)",U-27
"Uinta (River, Canyon)",U-3
"Uinta (River, Canyon)",U-32
"Uinta (River, Canyon)",U-33
"Uinta (River, Canyon)",U-34
"Uinta (River, Canyon)",U-36
"Uinta (River, Canyon)",U-39
"Uinta (River, Canyon)",U-4
"Uinta (River, Canyon)",U-41
"Uinta (River, Canyon)",U-46
"Uinta (River, Canyon)",U-47
"Uinta (River, Canyon)",U-48
"Uinta (River, Canyon)",U-49
"Uinta (River, Canyon)",U-5
"Uinta (River, Canyon)",U-50
"Uinta (River, Canyon)",U-59
"Uinta (River, Canyon)",U-74
"Uinta (River, Canyon)",U-8
"Uinta (River, Canyon)",U-85
"Uinta (River, Canyon)",U-9
"Uinta (River, Canyon)",U-96
"Uinta (River, Canyon)",U-98
"Uinta (River, Canyon)",U-99
West Fork of Blacks Fork,G-25
West Fork of Blacks Fork,G-27
West Fork of Blacks Fork,G-76
West Fork of Blacks Fork,G-77
West Fork of Blacks Fork,GR-125
Yellow Pine,W-65
Yellow Pine,W-66
Yellow Pine,W-67
