name,region_part,description,maps
Henrys Fork Trailhead,3,"Another North Slope trailhead enters contention for winning the popularity contest in no small part thanks to Kings Peak. Though there are two other trails described in this book that access Utah’s highest point, Henrys Fork is usually the most accessible—and clocks in at a reasonable 25 to 27.1 miles.

Unlike China Meadows, there are not a lot of campsites and no lakes to recreate on. Just a handful of established sites and a vault toilet plus some dispersed camping—great for setting up a base camp in the mountains from which to launch your backcountry adventures early the next morning. Otherwise, the primary destinations will be found several miles south of the trailhead, from a nearby lake with decent fishing to a view from the top of Utah.

Trail contacts: Uinta-Wasatch-Cache National Forest, Forest Supervisor, 857 West South Jordan Pkwy., South Jordan, UT 84095; Mountain View Ranger District, 321 Highway 414, PO Box 129, Mountain View, WY 82939, (307) 782-6555

From Mountain View, take Highway 410 south about 6 miles to a junction. Then take SR 017 (CR 283), a well-maintained gravel road, south about 12 miles to a fork. The east road (Road 077) heads south about 5 miles to Henrys Fork. Henrys Fork trailhead has fifty parking places and is equipped with toilets, campsites, corrals, and a stock ramp.

The sun setting on the North Slope, looking up the valley to the south across Elkhorn Crossing from the trail to Henrys Fork Basin","USGS Gilbert Peak NE, USGS Mount Powell, USGS Kings Peak; USDA Forest Service High Uintas Wilderness ; Trails Illustrated High Uintas Wilderness"
Highline Trailhead (West),1,"For many, hiking in Utah’s High Uintas all begins (or ends) right here. That’s because the Highline trailhead off Highway 150 is either the enthusiastic launch of a 10- to 100-mile trek or the exuberant conclusion of one (see the Highline Trail on page 187). Outside of the 3-mile hike to Mirror Lake or the strenuous 3.5-mile scramble to Hayden Peak (head due east from the trailhead and expect 2,000 feet in careful, rock-hopping elevation gain), Highline is all about distance. Most day hikes begin at 7 or 8 miles, round-trip, and continue up to 23 miles complete with mountain passes—doable on foot, of course, but easy to see why someone might bring a horse.

If you’re just getting started hiking at 10,000 feet, you might consider these hikes part of a more advanced class. Oh, and, at just about 1.1 miles into these hikes, you’ll pass into the designated High Uintas Wilderness Area. Remind your group of the power of Leave No Trace principles to help you and others who follow to fully enjoy the gift of America’s protected outdoor places.

Trail contacts: Uinta-Wasatch-Cache National Forest, Forest Supervisor, 857 West South Jordan Pkwy., South Jordan, UT 84095; Kamas Ranger District, 50 East Center St., Kamas, UT 84036, (435) 783-4338; Ashley National Forest, Forest Supervisor, 355 North Vernal Ave., Vernal, UT 84078, (435) 781-1181; Duchesne Ranger District, 85 West Main, Duchesne, UT 84021, (435) 738-2482

The Highline is the most popular trailhead of the High Uintas. From Kamas, take the Mirror Lake Scenic Byway (Highway 150) 34 miles to a large sign on the east side of the road that says “Highline Trail.” You can’t get lost finding this one.

This trailhead has a listed capacity of twenty-four vehicles, but there are often considerably more parked here on busy weekends. The overcrowded trailhead is equipped with toilets, water, stock ramp, and nearby campsites.

Hayden Peak stands watch over the western edge of the Highline Trail, whose trailhead is popular among hikers and horse packers.","USGS Hayden Peak and USGS Explorer Peak, USDA Forest Service High Uintas Wilderness , Trails Illustrated High Uintas Wilderness"
Hoop Lake Trailhead,3,"A quintessential High Uintas destination, Hoop Lake offers a few dozen reservable developed campsites with drinking water plus a handful of smaller sites and group sites. It all caters to campers, anglers, boaters, equestrians, hikers, and backpackers seeking easy access to the High Uintas Wilderness. Beyond Island Lake described in this chapter, the trail climbs over the divide from the North Slope to the South Slope, meeting up with the Highline Trail and all that remarkable route accesses.

Trail contacts: Uinta-Wasatch-Cache National Forest, Forest Supervisor, 857 West South Jordan Pkwy., South Jordan, UT 84095; Mountain View Ranger District, 321 Highway 414, PO Box 129, Mountain View, WY 82939, (307) 782-6555

Take Wyoming State Highway 414 southeast of Mountain View for 21.5 miles. At Lonetree, turn right onto CR 290, then left onto CR 291. After 5 miles, turn right on FR 078 and travel for 3 miles. At the signed fork, stay left continuing south and then east for 3.8 miles. There’s a Hoop Lake trailhead for horses on the east side of the lake as well as past the dam on the southwest side. There’s a horse ramp and at least thirty parking spaces.

A faint trail along the south side of Hoop Lake sets out toward Kabell Lakes.","USGS Fox Lake, USDA Forest Service High Uintas Wilderness , Trails Illustrated High Uintas Wilderness"
Lake Fork Trailhead,2,"Like Rock Creek, Lake Fork also sits at the end of a paved road. Of course, the nearby reservoir plus the deluxe cabins and paved RV sites of Moon Lake Resort are among the main reasons for this luxury. But for those seeking quick access to the High Uintas Wilderness and the increased solitude of the backcountry, it can be nice having the red carpet rolled up to the trailhead.

Though there’s a comparatively more leisurely stroll through the forest up the Fish Creek National Recreation Trail, the trails covered here are all about distance and solitude. A few years ago, the lightning-sparked East Fork Fire torched around 90,000 acres on the South Slope and caused some damage to the resort, so expect to see the aftermath of the fire along portions of the trails.

Trail contacts: Ashley National Forest, Forest Supervisor, 355 North Vernal Ave., Vernal, UT 84078, (435) 781-1181; Duchesne Ranger District, 85 West Main, Duchesne, UT 84021, (435) 738-2482

From Heber City, take US 40 east 69 miles to Duchesne. Turn north onto SR 87 and travel 14 miles to Mountain Home. Take the Moon Lake Road north about 15 miles to the Lake Fork trailhead.

The trailhead has forty vehicle parking places with water and toilets. The Moon Lake Campground is 0.25 mile past the Lake Fork trailhead. Lake Fork is the main takeoff point for Brown Duck, East, and Ottoson Basins and is an optional trailhead for Sinowauvf Basin.

Mountain Home, Utah, stakes its claim as “The Gateway to the High Uintas,” thanks to two paved access roads, one to Rock Creek (previous chapter), and the other to Lake Fork, near Moon Lake.","USGS Kidney Lake, USGS Oweep Creek, and USGS Explorer Peak; USDA Forest Service High Uintas Wilderness ; Trails Illustrated High Uintas Wilderness"
Mirror Lake Area,1,"One can argue that any tour of the Mirror Lake Scenic Byway (Highway 150) should include a stop at its namesake. It’s a good argument: The 53-acre Mirror Lake is the largest natural lake along the highway and attracts hikers, campers, anglers, and equestrians to its shores, trails, and campground and kayakers, paddle boarders, and other non-motorized boaters to its waters. On a calm day, its glassy waters reflect nearby Bald Mountain and painterly clusters of evergreen trees. It’s no wonder families return annually, and reservations may be necessary to grab a campsite. If not staying overnight, pack a picnic and find a spot along the shore to relax and enjoy the cool mountain air. Otherwise, see you out on the trails.

Trail contacts: Uinta-Wasatch-Cache National Forest, Forest Supervisor, 857 West South Jordan Pkwy., South Jordan, UT 84095; Kamas Ranger District, 50 East Center St., Kamas, UT 84036, (435) 783-4338; Ashley National Forest, Forest Supervisor, 355 North Vernal Ave., Vernal, UT 84078, (435) 781-1181; Duchesne Ranger District, 85 West Main, Duchesne, UT 84021, (435) 738-2482

From Kamas, take the Mirror Lake Scenic Byway (Highway 150) 31 miles to Mirror Lake. There are two trailheads. The first is a large day-use area with more than fifty parking spots, restrooms, and a boat ramp. You will find a second trailhead about 0.25 mile east of the Mirror Lake entrance. This trailhead has eighteen parking places and offers a very popular and well-maintained campground with water, toilets, and a stock-unloading ramp. (A northbound trail departing from here, also called Mirror Lake, is a connector trail to Highline.)

Bald Mountain overlooks the popular Mirror Lake area of the Mirror Lake Scenic Byway.

The boardwalk on the south side of the Mirror Lake Shoreline Loop offers a view northeast to Hayden Peak.","USGS Mirror Lake, USGS Hayden Peak, and USGS Iron Mine Mountain; USDA Forest Service High Uintas Wilderness ; Trails Illustrated High Uintas Wilderness"
Paradise Park/Blanchett Trailhead,2,"Among the more interesting features of the Paradise Park trailhead is the roughly 100-year-old Paradise Guard Station. Available to rent on Recreation.gov , the facility is described as RUSTIC (all caps)—but if you’ve been backpacking in the mountains it may feel like a resort. Up at Paradise Park Reservoir, access may be prohibited past the dam around the east side of the lake, but there is plenty of room to spread out across the western shores after carefully picking your way across the rocks, marsh, and cow pasture.

There are a lot of ATV tracks around the southwest side of the lake and nearby high-clearance roads offer plenty of miles of exploration and an advantage. The best trails near the lake require about 3 miles more to hike from Paradise Park than from Blanchett Park, but you’ll need a high-clearance vehicle and possibly an ATV to reach it, depending on conditions. If you can reach it, Blanchett Park offers good camping options to set up base camp.

Trail contacts: Ashley National Forest, Forest Supervisor, 355 North Vernal Ave., Vernal, UT 84078, (435) 781-1181

From Vernal, drive west 15 miles to LaPoint. Turn north toward the Uinta Mountains, then drive another 30 miles to Paradise Park. You can start hiking from here, but if you have a sturdy high-clearance 4WD, keep heading north another 3 miles up FR 296 to an old logging road and continue 1.3 miles to Blanchett Park (this road may be impassable).

If you’re coming from the Salt Lake City area, begin your journey to Paradise Park at Roosevelt. Take SR 121 north 10 miles to Neola. Keep following SR 121 another 14 miles east to the small community of LaPoint, then turn north and drive for 30 miles on the unpaved, though typically graded and improved dirt road.

According to legend, the Whiterocks District Ranger built the Paradise Guard Station in his spare time in the 1920s.

A pond covered in lily pads near the trail to Kibah Lakes","USGS Paradise Park and USGS Whiterocks Lake, USDA Forest Service High Uintas Wilderness , Trails Illustrated High Uintas Wilderness"
Pass Lake Trailhead,1,"Back on Highway 150, next up is the immensely popular Pass Lake trailhead. Though Pass Lake is on the east side of the road, this trail-head is just across the highway to the north of Pass Lake. Thanks to relatively short mileage, both of the trails covered here are excellent for families or groups with hikers of varying experience. But don’t let the length fool you. Whenever a trek begins above 10,000 feet, even short bursts of elevation gain will leave hikers breathless. Take your time and appreciate the view and benefits of being out in nature, even when the trail is popular and you’re sharing that experience with others.

Trail contacts: Uinta-Wasatch-Cache National Forest, Forest Supervisor, 857 West South Jordan Pkwy., South Jordan, UT 84095; Kamas Ranger District, 50 East Center St., Kamas, UT 84036, (435) 783-4338

From Kamas, take the Mirror Lake Scenic Byway (Highway 150) 32 miles to Pass Lake. The trailhead is on the opposite side of the road from the lake and has a restroom. Two or three dozen cars will fit in the parking area, with over-flow along the highway a near guarantee on weekends.

Bald Mountain and Reids Peak from the south side of the excellent Lofty Loop Trail","USGS Mirror Lake, USDA Forest Service High Uintas Wilderness , Trails Illustrated High Uintas Wilderness"
Rock Creek Trailhead,2,"Travelers to the Uintas accustomed to the paved access of Highway 150 will appreciate the smooth drive to Rock Creek trailhead. While you could certainly reserve a base camp in the campground among the ponderosa, lodgepole, and aspen forest and fish the stunning Upper Stillwater Reservoir (or, better yet, where Rock Creek enters the reservoir), excellent backpacking routes from Rock Creek trailhead shoot west, north, and east—though the destinations to the west are easier to access from Grandview trailhead.

A few years ago, the lightning-sparked East Fork Fire torched around 90,000 acres on the South Slope including Upper Lake Fork (next chapter) and here in the Rock Creek drainage. After the two-mile hike along the reservoir, you will get a close look at the aftermath of that fire. Parts of the Sinowauvf Basin and east of the East Fork of Rock Creek were severely burned. Also note that signage, guidebooks, and blogs may still refer to several sites in this region by the former name, “Squaw.” In consultation with some seventy tribes, the offensive term was removed from nearly 650 place names on U.S. federal land. Updated place names include Sinowauvf Basin, Kyhv Lake, Kweeyahgut Peak, and Nahguch Creek and Pass.

Trail contacts: Ashley National Forest, Forest Supervisor, 355 North Vernal Ave., Vernal, UT 84078, (435) 781-1181; Duchesne Ranger District, 85 West Main, Duchesne, UT 84021, (435) 738-2482

From Heber City, take US 40 east 69 miles to Duchesne. Then take SR 87 north 14 miles to Mountain Home. Rock Creek trailhead is 22 miles northwest of Mountain Home on the paved FR 134. Turn west (left) on FR 135 and travel for 0.25 mile. The trailhead is on the right (north). There are no campsites, but the Upper Stillwater Campground is just 0.25 mile away on FR 134. There are toilets, water, a stock ramp, and a stock corral at the trailhead. This is a popular takeoff point for equestrians heading into the Fall Creek or Sinowauvf Basin areas. It’s a long, steep hike to any lakes from here. Some lakes at the head of the Rock Creek drainage are more easily reached via the Highline Trail over Rocky Sea Pass.

Rock Creek Road to Upper Stillwater and the Rock Creek trailhead is one of those scenic drives that begs you to pull over to pause and appreciate the view.","USGS Explorer Peak, USGS Kidney Lake, and USGS Tworoose Pass; USDA Forest Service High Uintas Wilderness ; Trails Illustrated High Uintas Wilderness"
Spirit Lake Trailhead,3,"Utahns may recognize Summit County as home to high-end hotel, ski, mountain bike, spa, and shopping experiences thanks to the world-renowned outdoor adventure base camp known as Park City. Spirit Lake, by comparison, feels like a frontier outpost in the easternmost extreme of the county, which may explain the cabin names at the nearby lodge: Sacagawea, Lewis & Clark, Nessmuk, among others.

Spirit Lake sits at 10,180 feet above sea level in Utah’s Ashley National Forest. In fact, the lake and its trailheads are a 3-hour drive from Park City and accessed through Wyoming via I-80 and a series of unpaved county and forest roads. That remoteness can translate to some serious solitude. This chapter illustrates just four of the destination lakes accessed from two trailheads near Spirit Lake.

Trail contacts: Ashley National Forest, Supervisor’s Office, 355 North Vernal Ave., Vernal UT 84078, (435) 781-1181; Flaming Gorge Ranger District, 25 West Highway 43, Manila, UT 84046, (435) 784-3445

From Mountain View, take Wyoming Highway 414 east then south about 20 miles to Lonetree. After about 10 miles east on Highway 414 is a three-way junction that provides access to Spirit and Browne Lakes. At this junction, take the south dirt road (Road 221) 13 miles to a junction with a posted sign. Road 001 winds west then south 7 miles to Spirit Lake.

The Spirit Lake trailhead to Tamarak and Fish Lakes has about five parking places and can accommodate you with excellent campsites, toilets, water, a café with limited hours, rustic lodging, horse rentals, and a stock ramp. The trailhead to Daggett and Anson Lakes is located next to the road on the east side of Spirit Lake. There are limited pull-off parking options so the nearby campground might be the best option.

Dock and amenities near Spirit Lake Lodge, rustic accommodations near the Spirit Lake trailhead","USGS Chepeta Lake and USGS Whiterocks Lake, USDA Forest Service High Uintas Wilderness , Trails Illustrated High Uintas Wilderness"
Swift Creek Trailhead,2,"It can be easy to forget that the U.S. Forest Service is part of the U. S. Department of Agriculture until you wake up in your tent surrounded by a herd of mooing cattle, open-range grazing through the campground. But pay them no mind. If you’re camping below the trailhead at one of multiple campgrounds, your biggest challenge may be finding a large enough area free from cow pies to stake your tent. Otherwise, there are decent amenities (vault toilets, picnic tables, water) and plenty of fish in the river.

From the trailhead, most hikers and equestrians climb the ridgeline dividing Swift Creek and Yellowstone drainages and then continue the ascent up into the Swift Creek Basin. The rocky, tree-covered route along the Yellowstone would add variety to a loop hike.

Trail contacts: Ashley National Forest, Forest Supervisor, 355 North Vernal Ave., Vernal, UT 84078, (435) 781-1181; Duchesne Ranger District, 85 West Main, Duchesne, UT 84021, (435) 738-2482

From Heber City, take US 40 east 69 miles to Duchesne. Turn north onto SR 87 and travel 14 miles to Mountain Home. Follow Moon Lake Road north 4 miles to where Yellowstone River Road intersects on the east side. Follow Yellowstone River Road another 4 miles past the rough and tumble Hells Canyon Road. Stay on Yellowstone River Road another 6 miles to the Swift Creek trailhead.

The Swift Creek trailhead can handle parking for twenty-five vehicles and is equipped with campsites, toilets, water, and a stock ramp. Many of the high lakes are 10 to 15 miles away, up steep and rocky terrain. Swift Creek also serves as an optional trailhead for the Yellowstone River drainage.

The Swift Creek trailhead branches northwest along Yellowstone Creek and north along Swift Creek, traveling several miles into Timothy Basin, as seen from this ridge.","USGS Burnt Mill Spring, USGS Mount Emmons, USGS Garfield Basin, USGS Mount Powell, and USGS Kings Peak; USDA Forest Service High Uintas Wilderness ; Trails Illustrated High Uintas Wilderness"
Uinta Trailhead,2,"The first time I drove across the bridge over the Uinta River, I had to stop the car and get out. I had not seen so much water coming out of the Uintas before, being accustomed to hiking and fishing as a kid around the smaller Upper Prove River off Highway 150. Up the canyon, there are a couple dozen basic tent sites along the river, spread between a campground and a group area—sometimes accessible earlier in the season given the mostly paved access and relatively low 7,700 feet in elevation.

Hikes begin at the picnic area and signed “Uinta Trailhead.” It’s sometimes labeled Wandin Campground on maps, but signage at the trailhead indicates camping is not permitted. The road is typically closed beyond, adding around 0.8 mile of dirt road travel to the hikes. Though fishing and horseback expeditions no longer depart from the defunct U Bar Wilderness Ranch, expect plenty of equestrian traffic on these trails. As always, carry bug spray, watch your step, and take your time—this is an extremely rocky drainage. Even if you don’t summit Kings Peak as described above, there are plenty of reasons to extend your stay. The following trails can easily combine into a scenic loop of 40 or more miles.

Trail contacts: Ashley National Forest, Forest Supervisor, 355 North Vernal Ave., Vernal, UT 84078, (435) 781-1181; Duchesne Ranger District, 85 West Main, Duchesne, UT 84021, (435) 738-2482

From Heber City, take US 40 east 99 miles to Roosevelt. Then take SR 121 north for 11 miles to Neola. Head north 17 miles on the mostly paved Road 118, 0.8 mile past the Uinta Canyon Campground to the marked trailhead.

The Uinta trailhead has room for forty vehicles; amenities include toilets and a stock ramp. There is no water at the trailhead. Camping is available at Uinta Canyon Campground.

Popular with hikers and horse packs, Uinta Canyon trails are long, rocky, often steep, and always beautiful.","USGS Bollie Lake, USGS Fox Lake, USGS Mount Emmons, and USGS Kings Peak; USDA Forest Service High Uintas Wilderness ; Trails Illustrated High Uintas Wilderness"
West Fork Whiterocks Trailhead,2,"There are a number of long, improved dirt roads that climb high onto the South Slope. West Fork Whiterocks presents the chance to explore multiple trailheads from one such road. A short 0.5-mile spur road about 7 miles before the Chepeta trailhead carries drivers to West Fork Whiterocks. The narrow FR 109 opens to a surprisingly spacious parking area suitable for multiple vehicles and trucks with stock trailers. From there, enjoy easy access to the West Fork and a set of outstanding, though often rocky, long-distance trails perfect for well-conditioned, surefooted backpackers and well-prepared equestrians—indeed, there’s a lot of horse traffic here, so be sure to yield and watch your step. There are a couple of ATV-only trails (235 and 306) cutting northwest that offer access to additional trailheads and there are multiple loop options, including multi-day routes over high mountain passes.

Trail contacts: Ashley National Forest, Forest Supervisor, 355 North Vernal Ave., Vernal, UT 84078, (435) 781-1181

From Heber City, take US 40 east 99 miles to Roosevelt. Then take SR 121 north for 11 miles to Neola. Follow SR 121 east about 5 miles to a junction. From the junction, follow a paved road north 3 miles to the town of Whiterocks. Keep on the road, heading north for 4 miles to another junction. At this point, follow Road 117, which winds east then north 18 miles to Pole Creek Junction. Then take Road 110 about 4 miles north to the West Fork junction. From here it’s about 1 mile northwest to the West Fork trailhead; the road continues north another 7 miles to the Chepeta trailhead. There are numerous 4WD roads in the area, so stay on the road most traveled.

West Fork Whiterocks has parking for thirty vehicles as well as toilets, corrals, and a stock-unloading ramp.

Like Uinta Canyon, West Fork Whiterocks is a rocky drainage popular among equestrians and hikers with good ankles.","USGS Fox Lake and USGS Chepeta Lake, USDA Forest Service High Uintas Wilderness , Trails Illustrated High Uintas Wilderness"
