name,region,drainage,pages,info
Middle fork of Blacks Fork,main,Blacks Fork Drainage,"66,202,203,204,205","Chapter 2: THE WILDERNESS AREA--North Slope

Section 6: THE MIDDLE FORK OF BLACKS FORK HOW TO GET HERE: See Section 7 No official trailhead, nor even any kind of sign announcing one of the most incredible drainages in the Uintas. Let me tell you how to find it, showing a few pictures as a guide, and I'll relate one of the impossible to explain experiences--leading to the word….""MIRACLE!""

We are seeing above the bridge over the West Fork of Blacks Fork, with a yellow arrow pointing at a gate in the fence 150 yards from the bridge, which in the middle photo I'm about to go through. Doesn't say where it goes, but believe me it goes 2 miles to what I'm calling unofficially the MIDDLE FORK OF BLACKS FORK TRAILHEAD. With my vehicle, that is 4WD, I make it safely 1 mile then--especially if it has been raining, I park and shoulder my backpack. Less than 1 mile from the barrier--that we'll call THE TRAILHEAD, you come out of the Lodgepole pines and beautiful Middle Fork with its pioneer type fences and beaver dams--with 13,165 ft. Tokewanna Peak in the distances opens up before us."
Mirror Lake,main,Rock Creek Drainage,"403,404,405,406,407,408,409","Chapter 2: THE WILDERNESS AREA—South Slope

Section 23:

THE MIRROR LAKE TRAILHEAD-- ANOTHER GATEWAY to the GRANDADDY BASIN HOW TO GET HERE: From the American Fork Utah 31 miles to Heber, then to Kamas (17), and on Ut-150-The Mirror Lake Scenic Byway, over Bald Mt. Pass and down to Mirror Lake (32), a TOTAL of 80 miles from American Fork, Utah, 72 miles from Salt Lake City.

Mirror Lake as seen from Scout Lake"
Murdock area (no real trailhead),western,Duchesne River Drainage,440,"Chapter 3: THE WESTERN UINTAS

Section 4: THE MURDOCK BASIN, FEHR LAKE TRAILHEAD to MIRROR LAKE OUR OBJECTIVE: We are dealing with the east side of the Mirror Lake Scenic Byway beginning down to the southeast from where we took the Spring Canyon Road on the other side of the highway, and will work our way up to the Murdock Basin, all part of the Duchesne River drainage. Then we'll pick up the lakes along the highway part of the Provo River drainage, then up to and past the Mirror Lake area and on to Hayden Pass, all lakes that are part of the Duchesne River drainage. HOW TO GET HERE: For the Murdock Basin Road about 22 miles from Kamas where you leave the highway and follow the paved road 1 mile northwest to the Murdock Basin Trailhead, a TOTAL of about 23 miles from Kamas, 71 from Provo, and 63 from Salt Lake.

But we'll start even further back down the Mirror Lake Highway at the Soapstone Basin road, about 14 miles from Kamas. IRON MINE (D-33): Access is 7.5 miles southeast of U-150 on the Soapstone Basin and Iron Mine Roads to the main iron Mine Fork and then 2.5 miles south 9,580 ft. elevation, 15.2 acres, 21' deep, , but perhaps not worth the drive as it ""is subject to frequent winterkill ……"" but recently stocked with Brook trout. Managed for brook trout, stocked on a 2 year cycle."
N. Fk. Sheep Ck. Trail No. 023,minor--eastern,Sheep/Carter Creek Drainages,481,"NOW TO THE DETAILS A mile or so after leaving FR-221, you come to the first two trail signs, seen below:

The sign on the left leads to areas in the Wilderness Area. The one on the right is in the Sheep/Carter Creeks area. As you will notice, access to the areas of our interest, are best from the Spirit Lake area. But to give you a complete picture, I'm showing the signs as we come to them, another of which is found 2 miles further along, seen below, that has us in the zone.

About 4 miles further we come to Spirit Lake and as we drive a mile around the eastern side, we come to another trail sign seen below.

Then, after passing the full-service Forest Service campground, we come to the main Trailhead, seeing just a little further along the gate of the Resort--with lodge, restaurant, cabins and boats for rent, but closed with the FOR SALE sign I showed in Chapter 1."
Pass Lake,western,Weber River Drainage,"447,448,449,450,451","Chapter 3: THE WESTERN UINTAS

Section 5: PASS LAKE & TRAILHEAD

HOW TO GET HERE: From Kamas, Utah follow the Mirror Lake Scenic Byway over Bald Mountain Pass, and down past Mirror Lake, continuing 1/2 mile down to a big turn as the highway goes up east past the Lake, a total of 32.4 miles from Kamas.

PASS LAKE (Z-5): A popular lake for day fishermen with no campground, but areas are available for what the DWR calls ""primitive camping and off-road parking,"" at 9,940 ft. elevation, 4.5 acres, 10' deep with stocked rainbow, albino, brook and Tiger trout, as well as Grayling.

Now the TRAILHEAD

Below are the trail signs at the trailhead. We will now examine the details for all the lakes that can be accessed from this trailhead beginning with the LOFTY LAKE LOOP, that includes three lakes: SCOUT, LOFTY and KAMAS LAKES, plus one mentioned on the topographical map, but not in the DWR pamphlet, Picturesque Lake.

PICTURESQUE LAKE ….no details in the DWR pamphlet. The topographical map has it just east of the trail as you climb up to Scout Lake. The DWR can find no records of this lake."
Rock Creek,main,Rock Creek Drainage,"130,375,376,377,378,379,380,381,382,383,384,385","Chapter 2: THE WILDERNESS AREA—South Slope

Section 21: The ROCK CREEK DRAINAGE & TRAILHEAD HOW TO GET HERE:

From the Provo, Utah 100 miles to Duchesne, (from Heber on U.S. 40), then follow the signs to Mt. Home--18.6 miles, then another 23 miles to the Trailhead, for a TOTAL of 142 miles from Provo, 156 miles from Salt Lake City."
Shingle Creek,western,Provo River Drainage,417,"and Big Elk lakes."" Not horse friendly. 10,020 ft. elevation, 30 acres, 85' deep, but fluctuates as it is also a

reservoir with a dam. Has Brook, Cutthroat and Tiger trout, with heavy pressure.

LOWER SHINGLE CREEK (P-62): Accessed by proceeding east 1.5 miles from the Upper Setting Trailhead over steep terrain. Also accessed from the Shingle Creek Trailhead, 4.5 miles to a large meadow and then east for 3/4 mile, horse access difficult, 9,620 ft. elevation, 4 acres, 14' deep, has brook trout with moderate pressure.

LAKES ACCESSED VIA THE SHINGLE CREEK TRAILHEAD:

All the lakes mentioned in the previous paragraphs, accessed from the Upper Setting Road trailhead, can be accessed from the Single Creek Trailhead, but the 5+ mile hike from here to there can be avoided by driving the 7 miles up that road, but they are accessible from here. We'll now go on the highway 0.8 of a mile to another road that takes us way up the mountain before we have to begin hiking. LAKES ACCESSED VIA THE NORWAY FLATS ROAD: As you can see on the topographical maps, once again this dirt/gravel road will take you about 7 miles up to its end, near which are a number of lakes that follow, along with the trail to Big Elk, and the Erickson lakes which have already been mentioned. NOTE: You might have noticed already that lakes"
Spirit Lake area,main,Burnt Fork Drainage,"84,85,86,282,283","Chapter 2: THE WILDERNESS AREA--North Slope

Section 15:

The SPIRIT LAKE TRAILHEAD: Burnt Fork Drainage NOTE: Since our Chapter 2 deals only with the WILDERNESS AREA, this section will only cover the Burnt Fork Drainage, including the Island Lake area already explained, as it can be accessed from Spirit Lake. For the Sheep Creek Drainage we will revisit the Spirit Lake Trailheads in Chapter 4: THE EASTERN UINTAS. HOW TO GET HERE: You can get here following the instructions to get to the Beaver Meadows Reservoir, Total of 173 miles from SLC, then driving 5 miles on FR-058 to the junction with FR-221 you follow for 2.7 miles to the Spirit Lake Road--FR-01, then 9 miles to the Spirit Lake Area, for a TOTAL OF 190 miles from SLC. Let's see if we can't get there less painfully: From SLC 147 to Lonetree, than on WY-414, 12 miles to Nila's Store, then 11 miles up the Spirit Lake Byway to the Spirit Lake road, FR-01, and 9 more to Spirit Lake, for a TOTAL of 180 miles, 10 less overall, but 26 miles less on dirt/gravel."
Spirit-Tamarack Trail No. 024,minor--eastern,Sheep/Carter Creek Drainages,"481,482","NOW TO THE DETAILS A mile or so after leaving FR-221, you come to the first two trail signs, seen below:

The sign on the left leads to areas in the Wilderness Area. The one on the right is in the Sheep/Carter Creeks area. As you will notice, access to the areas of our interest, are best from the Spirit Lake area. But to give you a complete picture, I'm showing the signs as we come to them, another of which is found 2 miles further along, seen below, that has us in the zone.

About 4 miles further we come to Spirit Lake and as we drive a mile around the eastern side, we come to another trail sign seen below.

Then, after passing the full-service Forest Service campground, we come to the main Trailhead, seeing just a little further along the gate of the Resort--with lodge, restaurant, cabins and boats for rent, but closed with the FOR SALE sign I showed in Chapter 1."
Swift Creek,main,Swift Creek Drainage,"123,325,326,327,328,329,330,331","Section 18:

The YELLOWSTONE & SWIFT CREEK DRAINAGES and SWIFT CREEK TRAILHEAD HOW TO GET HERE: From the Wasatch Front, 100 miles to Duchesne, (from Heber on U.S. 40) then north following the signs towards Yellowstone Canyon (29 miles) on the Road to Moon Lake, but at the sign turning east on the dirt-gravel road and continue to Yellowstone Canyon, and the Swift Creek Trailhead. TOTAL of 129 miles.

OPTIONS FOR CLIMBING KINGS PEAK OPTION 1: Henrys Fork Trailhead on the North Slope……………………..……….…..…....15 miles (30) OPTION 2: Swift Creek Trailhead via Yellowstone Canyon…………………………..….. 18 miles (36) OPTION 3: Swift Ck. TH via Swift Ck., Bluebell Pass, Yellowstone Canyon…..22 miles.(44) OPTION 4: Uinta River TH via Atwood Trail, Trail Rider Pass…………………………..25 miles(50)

THE SWIFT CREEK DRAINAGE The first lake, actually in the Yellowstone Creek Drainage, as its outlet stream goes into the Yellowstone, will be accessed before the Trailhead about 1/2 mile at the well marked Grants Spring on the right side of the road. LILY (S-15) or on the NG Wilderness Map, WATER LILY LAKE: A very nice lake surrounded by pines and quaking aspen trees. Access is via a steep, well-defined trail that goes 1 mile to the lake with 1,250 feet of elevation gain. 9,346 ft. elevation, 20 acres, 39' deep. No horse feed at the lake. Stocked brook trout, heavily fished."
"Uinta (River, Canyon)",main,Uinta River Drainage,"119,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307","Chapter 2: THE WILDERNESS AREA—South Slope

Section 16:"
Weber River: #2 Ledgefork,main,Weber River Drainage,151,"From Oakley we drive 11.7 miles to the sign we see below, and there turn right. We'll be back to this junction in a bit.

We drive 2.1 miles along a very nice stream, and then come to Smith & Morehouse Reservoir

We drive along Smith & Morehouse Reservoir and note shore fishermen, and others from boats, and recall this is one of the many places where you can now catch arctic grayling. From the dam we drive 2.2 miles and come to the Campground and then the Trailhead, noting that this trail leads up into the high country to places along the Mirror Lake Scenic Byway, like the Crystal Lake Trailhead, etc. In Chapter 3, Sections 7 and 8, I will give more details and include some Historical Notes about gold in the Uintas in this area.

From Oakley we've driven 22 miles to here. We'll now go back down to the Junction, and drive 8.7 miles up to the Gardner Trailhead. There are other minor trailheads, I'll describe in Chapter 3. 151"
Weber River: #3 Gardner's Fork,main,Weber River Drainage,152,"We have now backtracked 20 miles to Oakley, and will begin our last segment.

COALVILLE & ""THE BEST LITTLE MUSEUM IN UTAH"" We get back on UT-32, and parallel the course of the Weber River to Rockport Reservoir, with its State Park, and all kinds of camping and recreation facilities. After Rockport we can get on I-80, or continue on UT-32 going through Hoytsville and on to Coalville, 18.4 miles from Oakley, and drive down the main street until coming to the Courthouse--and have finished our driving of the Auto Loop Tour of the Uintas. You will notice in the vicinity of the Courthouse, many displays of historical significance that are all worthwhile, like……this beautiful mural:

But our main interest is to meet NaVee, and see the unique museum she has created. Her MUSEUM can quite easily be missed, so best go in the Courthouse up a couple of floors and find the Historical Director, and she will be more than happy to take you back 152"
West Beaver Creek,main,Beaver Creek Drainage,77,"We make a right hand turn towards West Beaver Creek, and in one mile pass by the West Beaver Creek Trailhead, I've inserted on the previous page, along with a photo of the main area the trail takes you too-- Gilbert Lake and Gilbert Peak. We continue on towards Hole in the Rock, passing by many beaver dams. We are now in a vast northeast area of the Uintas geologists call ""hogbacks"" one of which we get a shadowy glimpse of to the left in the previous photo. I'll insert a better shot of one below.

Below is a good view of a hogback, looking back to the west from the junction of the Middle Beaver Creek Trailhead road. The mileage included next will include the 4 mile roundtrip to the Trailhead, the sign indicating some of the areas the trail will take you to.

From the sign coming out of the Middle Fork road, to the junction of the road coming from Lonetree, and continuing to Hoops Lake, it is 1 mile. This is a good point to insert our mileages:

ODOMETER: At the junction where FR-082 meets FR-078 coming from Lonetree and continuing to Hoop Lake -- NORTH SLOPE = 80 miles, plus the complete Piedmont Tour = 257 miles. From the junction where FR-078 comes from Lonetree and the highway on the north, our North Slope Scenic Backway Tour now continues following FR-078. This is the spot where we can see HOLE IN THE ROCK, with a zoomed-in photo of it shown on the next page."
West Fork Whiterocks River,main,White Rocks Drainage,"112,113","As you climb up out of the Uintah Basin, you will see a nice display well worth your time, concerning the ever present danger of forest fires and its effect on the environment. You will later see in person areas devastated by fires and how they are recovering.

As you see on the map, we will at one point leave the Elkhorn Loop Road, and continue up to Chepeta Lake, but then return to continue on the Loop until getting to the Uinta River Canyon. We soon get up into the forest and are warned about the TIMBER OPERATIONS….so be careful always.

We again are on a wonderful road that will take us right up to near timberline at Chepeta Lake, where once again we cross the Highline Trail. At 14.2 miles after leaving the pavement, we come to a junction where the ELKHORN LOOP ROAD turns west to Pole Creek. Here we will take the important side-trip up into the high country at Chepeta Lake. After our side-trip we will return to the Elkhorn Loop Road, but we've got to see the high country in this wonderful drainage which is east of the Wilderness Area but with important Wilderness trails.

Five miles further we come to the sign to the West Fork Trailhead, the picture below actually taken when I was coming down."
West Fork of Blacks Fork,main,Blacks Fork Drainage,"63,64,198,199","Chapter 2: THE WILDERNESS AREA--North Slope

Section 5: THE WEST FORK OF BLACKS FORK HOW TO GET HERE: From Kamas, on UT-150 to the North Fork Road (FR-058), then east 18 miles to the junction. TOTAL FROM Kamas = 68 miles, from SLC=108 miles. From Evanston, Wyo., east on I-80 to Ft. Bridger, east and south to Mt. View--total of 45 miles, then 9 miles on CR-410 to Robertson and end of pavement, turning south on CR-271 to Ut. border, then on FR058 to junction (24 miles from Robertson) with E. Fk. Blacks Fk. road, FR-065. Then 2 miles to the west. Total via Evanston=84 miles. From SLC 80 to Evanston + 80 miles to junction. TOTAL OF 160."
West Fork of Smiths Fork,main,Smiths Fork Drainage,232,"Chapter 2: THE WILDERNESS AREA- North Slope

Section 9: WEST FORK OF SMITHS FORK ***********************

PREFACE THE STEEL CREEK COMMISARY GHOST - THE TIE HACKERS - HEWINTA GUARD STATION This West Fork of Smiths Fork area has been mentioned in reference to the tie hackers, with nearby SUICIDE PARK, then on the side road, FR-209, THE STEELE CREEK COMMISARY GHOST TOWN, then 1/2 mile to the HEWINTA GUARD STATION--cabin built by the tie hackers in 1928, and then another 1/2 mile the WEST FORK OF SMITHS FORK TRAILHEAD--which interestingly is not listed anywhere as a trailhead--not in any guide book, nor National Geographic Wilderness Map, nor Forest Service Wilderness Map-so, here's another of many FIRSTS FOR THIS BOOK. You've already noticed that I've already sort of invented several that don't exist officially, like ""The Hell's Hole Trailhead,"" and the ""Middle Fork of Blacks Fork Trailhead."" So, you might expect again that I don't know what I'm talking about, but LOOK WHAT'S IN THIS FAIRLY ISOLATED SPOT!

There's even an old mailbox with a register inside--that not even the eastern end of the Highline Trail has."
West Fork of Whiterocks River,eastern,White Rocks Drainage,502,"We now return to FR-117 and continue up the canyon about 3 miles and at the sign--WEST FORK TRAILHEAD--turn to the left and drive about 0.6 mile to the trailhead we see below.

From this very nice trailhead--by far the best in the drainage, complete with everything you need including corals for horses and more. From here we can access at least 15 lakes, but I'm recalling that I promised to tell you about one of my adventures when we got to this area. I joke about it as my:

It was in 2016 when I came here with the specific intention of completing my record of climbing all of the 22 passes in the Wilderness Area. From here I wanted to bag 11,360 ft. Fox-Queant Pass, and 12,226 foot North Pole Pass. It was actually my first experience backpacking in the Eastern Uintas, as over the years I had focused mainly on the High Uintas Wilderness Area. I first noticed what seemed like more use of horses. Second, almost everybody was armed with pistols and revolvers, one with a powerful .454 Casull Taurus Raging Bull revolver. His concern wasn't bears as was the case with most, but rather with cougars. I haven't heard of such attacks, so I'm not sure how justified they were, but who knows? I guess carrying makes us all feel like badasses! At Cleveland Lake I had some good fishing, and got a shot or two of bull moose feeding in the lake."
Yellow Pine,western,Weber River Drainage,415,"NOW THE WEBER RIVER DRAINAGE The Weber River is a large drainage system on the western extremity of the Uinta Mountains. There are 59 natural lakes and 80+ ponds of less than 2 acres. Eleven of these lakes have been enlarged by dam construction for water storage purposes. Access is provided by Highway 213 east of Oakley and Highway U-150 east of Kamas, Utah. Starting points along Highway 213 include the Erickson Basin Trailhead in the vicinity of the Ledgefork Campground. Other trails originate from Holiday Park but it is on private property and the Forest Service right-of-way road has no trailhead development or parking. NOTE: We will deal with the Trailheads on the Weber River after we examine first those along the Mirror Lake Highway. The major access points to the Weber Drainage are scattered along UT-150 and include the Upper Setting Trailhead, the Crystal lake Trailhead, the Bald Mountain Trailhead, and the Weber River Trail near Pass Lake. Trails originating at these points drop over the top into the major headwater regions of the Weber Basin. Some of the more inaccessible lakes in the Uinta Mountains lie within this drainage. Forest Service trails are not well developed or maintained with the exception of the Notch Mountain Loop Trail, the Lofty Lake Loop Trail, the Smith-Morehouse Trail, and the Yellow Pine Trail. Several trail systems, particularly in the Middle fork are no longer in existence due to light foot and horse traffic. Self-sustaining populations of Arcti"
