Lake name	Size (acres)	Max depth (ft)	Fish species	Fishing pressure
Survey, RC-20	6	12	Brook trout (stocked)	Low
Thompson, RC-8	21.2	26	Brook trout (stocked)	Low
Uintah, X-131	8.4	14	Brook trout (stocked)	Low
Youg, X-100	4	19	Cutthroat trout (stocked)	Low
Anson, Lower GR-9	14.5	20	Brook and cutthroat trout	Moderate
Anson, Upper, GR-10	7.7	58	Brook trout (natural reproducing)	Moderate
Bummer, GR-22	1.9	6	Brook trout, Arctic grayling	Low
Clear, GR-12	10.2	25	Cutthroat trout, Tiger trout	Low
Columbine, GR-116	5.7	5	Brook trout (stocked), Tiger trout	Low
Daggett, GR-6	42.6	29	Rainbow trout (stocked), Tiger trout	High
EWE, GR-18	3	10	Arctic grayling	Low
Gail, GR-115	4.5	25	Cutthroat trout	Low
GR-11	2.6	8	Brook trout (stocked)	Low
GR-13	9.2	Unknown	Brook trout (stocked)	Low
GR-20	5.7	8	Brook trout (stocked)	Low
GR-21	3.7	7	Brook trout (stocked)	Low
GR-31	6	6	Brook trout (naturally reproducing)	Low
GR-104	4.3	19	Trout	Low
Hidden, GR-7	8.5	26	Brook (stocked) and cutthroat trout	Low
Hidden, GR-112	4.3	8	Brook and cutthroat trout	Low
Jesson, GR-1	25.5	56	Brook (stocked) and cutthroat trout, Tiger trout	High
Judy, GR-25	4.7	24	Brook trout (stocked), Tiger trout	Low
Lamb, GR-19	6	10	Arctic grayling, Tiger Trout	Low
Lost, GR-4	3.2	7	Cutthroat trout (naturally reproducing)	Low
Lost, GR-101 (Mystery)	10.2	25	Brook (stocked) and cutthroat trout	Moderate
Mutton, GR-23	3.8	10	Brook trout (stocked)	Low
One Fish, GR-32	4.5	35	Brook trout (stocked), Arctic grayling	Low
Penguin, GR-16	2.1	20	Brook trout (naturally reproducing)	Moderate
Potter, Lower, GR-27	3.4	16	Brook trout (naturally reproducing)	Moderate
Potter, Upper, GR-28	21.3	75	Brook trout (naturally reproducing)	Low
RAM, GR-24	7	27	Cutthroat trout	Low
RED, GR-33	20.9	57	Brook trout (stocked), Tiger trout	Low
Sesame, GR-15	6	7	Brook trout (stocked), Arctic grayling	Low
Summit, GR-5	9.9	7	Arctic grayling	Low
Tamarack, GR-2	79.1	90	Brook trout and cutthroat trout (naturally reproducing), Tiger Trout	High
Teepee, Lower, GR-28	4.3	28	Brook trout (stocked)	High
Teepee, Upper, GR-30	6.5	28	Cutthroat, Tiger trout	Moderate
Bennion, Lower, GR-134	7.7	13	Brook and cutthroat trout	Low
Bennion, Upper, GR-135	2	3	Brook and cutthroat trout	Low
Boxer, GR-126	6	11	Cutthroat trout	Moderate
Burnt Fork, GR-127	9.8	25	Cutthroat trout (naturally reproducing)	Moderate
Crystal, GR-128	5.4	5	Cutthroat trout (naturally reproducing) and brook trout	Low
Fish, GR-125	38.3	23	Brook and cutthroat trout	Moderate
Island, GR-132	117.8	34	Cutthroat trout (naturally reproducing) and brook trout	High
Kabell, GR-140	14.7	23	Cutthroat trout (stocked)	Moderate
Round, GR-131	24.3	38	Cutthroat trout (stocked)	Moderate
Snow, GR-130	9.4	35	Cutthroat trout (stocked)	Low
Whitewall, GR-133	14.5	3	Brook and cutthroat trout	Low
Bald, G-63	6.4	23	Brook trout (naturally reproducing)	Low
Bridger, G-20	21	15	Rainbow and brook trout (stocked)	High
China, G-21	31.2	45	Brook trout, cutthroat trout, arctic grayling	Moderate
G-13	7.9	17	Brook trout (stocked)	Low
G-34	1	6	Brook and rainbow trout	Moderate
G-36	4.7	11	Trout	Low
G-45	3.1	12	Brook trout (stocked)	Low
G-49	3.9	11	Brook, cutthroat and rainbow trout	Low
G-50	3.7	5	Brook trout (naturally reproducing)	Moderate
G-51	8.1	5	Brook trout	Low
G-52	2.6	4	Cutthroat (stocked)	Low
G-53	5.5	17	Cutthroat and brook trout (naturally reproducing)	Moderate
G-56	1.5	12	Brook trout	Low
G-58	1.3	5	Cutthroat	Low
G-59	3.2	24	Brook trout (stocked)	Low
G-60	2.5	9	Brook trout, Tiger trout	Moderate
G-61	3.1	6	Brook trout	Low
G-64	3.4	5	Cutthroat trout (stocked), Tiger trout	Low
Grahams, G-32	18.5	25	Unknown	Unknown
Hessie, G-18	13.2	18	Cutthroat trout (stocked), Tiger trout	Moderate
Marsh, G-19	33.6	35	Brook and rainbow trout (stocked)	High
Red Castle, G-15	168.2	103	Cutthroat trout (stocked), Tiger trout	High
Red Castle, East, G-17	21.1	58	Cutthroat trout, Tiger trout	Moderate
Red Castle, Lower, G-12	45	28	Brook trout	Moderate
Red Castle, Upper, G-16	25.6	72	Cutthroat (stocked), Tiger trout	Moderate
Sargent, G-35	8.3	22	Trout	Low
Smiths Fork Pass, G-14	26.1	17	Cutthroat trout, Tiger trout	Low
Abes, W-30	21.6	62	Cutthroat trout	High
Adax, W-34	5	10	Cutthroat trout	Low
Anchor, W-29	13	50	Brook trout	Moderate
Arrowhead, W-68	2.1	26	Brook trout (naturally reproducing)	Moderate
Carol, W-51	3	25	Brook trout (stocked)	Low
Castle, W-67	10	30	Tiger trout	Moderate
Cuberant #1, W42	3.5	18	Brook trout	Moderate
Cuberant #2, W43	3.2	6	Brook and cutthroat trout	Moderate
Cuberant #3, W44	3.5	24	Brook trout	Moderate
Cuberant #4, W45	22	25	Tiger trout	Moderate
Cuberant #5, W46	5	15	Unknown	Low
Dean, W-35	12	16	Brook trout, Arctic grayling	High
Divide #2, W-20	3.5	10	Trout	Low
Elkhorn, W-64	1.5	10	Brook trout (stocked)	Moderate
Erickson, South, W-25	10	12	Brook trout (stocked)	Moderate
Erickson, North, W-26	9	12	Brook trout (stocked)	High
Fish, W-47	46	38	Arctic grayling, brook trout	High
Fran, W-39	3	8	Brook trout	Moderate
Ibantik, W-24	10.2	28	Brook trout (naturally reproducing)	High
Jean, W-58	3	25	Cutthroat trout (stocked)	Low
Jerry, W-28	3.2	16	Brook trout (stocked)	Low
Kamas, W-40	17.1	42	Tiger trout	Moderate
Little Hidden, W-21	8	28	Brook trout	Moderate
Lofty, W41	4	20	Tiger trout	Moderate
Lovenia, W-23	2.5	11	Brook trout	High
Meadow, W-27	29	46	Cutthroat trout (naturally reproducing), Tiger trout	High
Neil, W-31	1.1	20	Brook trout	Low
Notch, W-36	20.2	57	Brook and cutthroat trout	Moderate
Olsen, W-32	7	13	Brook trout (stocked)	Moderate
Peter, W-22	3	13	Unknown	Low
Reids, W-38	3	8	Brook trout	Low
Rhoads, W-33	7.5	32	Brook trout (naturally reproducing)	Moderate
Round, W-48	5	36	Cutthroat trout, Arctic grayling	Moderate
Sand, W-49	19.3	41	Arctic grayling	Low
W-16	Unknown	Unknown	Brook trout (stocked)	Low
W-52	3.6	25	Brook trout	Moderate
W-53	2.2	9	Brook trout (stocked)	Low
W-57	3	8	Brook trout (stocked)	Moderate
W-59	4	10	Brook trout (naturally reproducing)	Moderate
W-62	2.1	18	Brook trout (stocked)	Low
Yellowpine, Lower, W-66	2	7	Brook trout (stocked)	High
Yellowpine, Upper, W-65	3	12	Brook trout (stocked)	High
Chepeta, WR-64	50	60	Brook (stocked) and cutthroat trout	High
Cleveland, WR-7	26	6	Brook (stocked) and cutthroat trout	High
Cliff, WR-49	40	55	Brook (stocked) and cutthroat trout	Moderate
Dollar, WR-43	7	15	Brook, rainbow and cutthroat trout, Tiger trout	Moderate
Elbow, WR-58	25	17	Brook trout (stocked)	Moderate
Figure-eight WR-56	3	5	Cutthroat trout	Low
Hidden, WR-63	12	27	Brook trout	Moderate
Larvae, WR-12	4	28	Brook trout	High
Lower Rock, WR-17	12	39	Cutthroat trout, Brook trout (stocked)	Moderate
Middle Rock, WR-16	6	10	Brook and cutthroat trout	Low
Mocassin, WR-53	11	27	Brook and cutthroat trout	Moderate
Ogden, WR-5	14	21	Cutthroat and brook trout	Low
Papoose, WR-52	8	22	Cutthroat and brook trout	Moderate
Paradise Park Reservoir, WR-18	137	36	Rainbow trout (stocked)	High
Pearl, WR-45	2.5	15	Brook trout (stocked)	Low
Point (Adams) WR-6	16	21	Brook trout (stocked)	Low
Pole Creek Lake, WR-13	5	10	Tiger trout, rainbow trout	High
Queant, WR-4	57	44	Brook trout (stocked)	High
Rassmussen #1, WR-35	19	5	Brook trout (stocked)	Moderate
Rassmussen #2, WR-36	14	8	Brook trout (stocked)	Moderate
RC #1, WR-2	10	16	Brook and cutthroat trout (stocked)	Low
Reader, WR-66	10	10	Brook and cutthroat trout	Moderate
Sand, WR-42	6	5	Brook and cutthroat trout	Low
Sharlee, WR-57	10	4	Brook and cutthroat trout	Low
Taylor, WR-8	25	53	Brook trout (stocked)	Low
Teds, WR-44	14	20	Brook trout (stocked)	High
Upper Rock, WR-14	15	28	Cutthroat trout (stocked)	Low
Walk-up, WR-55	13	60	Brook trout	Low
Watkins, WR-48	18	36	Brook trout	Low
Whiterocks Reservoir Lake, WR-46	35	42	Brook and cutthroat trout	High
Wigwam, WR-54	4	14	Brook and cutthroat trout (stocked)	Moderate
Wooley, WR-40	18	42	Brook trout (stocked)	Moderate
Workman, WR-50	20	14	Brook trout and cutthroat	Moderate
WR-9	3	12	Brook trout	Low
WR-19	10	18	Cutthroat trout	Low
WR-34	9	20	Brook trout	Low
WR-37	3	13	Cutthroat and brook trout	Moderate
WR-65 (Hell Hole)	8	6	Brook trout	Moderate
WR-67 (Horseshoe)	12	14	Cutthroat trout	Low
WR-73	8	Unknown	Brook trout	Low
WR-74	4	14	Brook trout	Low
WR-75	3	8	Brook trout	Low
WR-76	8	7	Brook trout	Unknown
WR-77	4	15	Brook trout	Low
