letter_number,name,drainage,elevation_ft,size_acres,max_depth_ft,fish_species,fishing_pressure,low_pressure,remote_access,natural_repro,infrequent_stocking,big_fish_mentioned,productive_depth,elevation_sweet_spot,size_sweet_spot,tiger_trout,grayling,cutthroat,good_habitat,total_score,notes
GR-50,North Twin (Dry Fork),Ashley Creek Drainage,10305,10.3,24,"Brookies*, Cutthroats*, Tigers*",High,0,0,1,1,0,1,1,1,1,0,1,1,8,"Natural repro, Infrequent stocking, Big fish potential, Good depth, Good elevation, Good size, Tigers, Cutthroat, Good habitat"
LF-8,,Lake Fork Drainage,10498,7.0,17,"Cutthroats, Unknown*",Low,1,1,0,1,0,1,1,1,0,0,1,1,8,Light pressure; Remote/off-trail; Infrequent stocking; Good depth (17ft); Good elevation; Good size (7.0ac); Cutthroat; Good habitat
U-98,Penny Nickell,Uinta River Drainage,10710,11.5,43,Cutthroats,Low,1,1,0,1,0,1,1,1,0,0,1,1,8,"Light pressure, Remote/off-trail, Infrequent stocking, Good depth, Good elevation, Good size, Cutthroat, Good habitat"
W-49,Sand,Weber River Drainage,10140,19.3,41,Grayling,Low,1,1,1,0,0,1,1,1,0,1,0,1,8,Light pressure; Remote/off-trail; Natural repro; Big fish potential; Good depth; Good elevation; Good size; Grayling; Good habitat
W-58,Jean,Weber River Drainage,10100,3.0,25,Cutthroats,Low,1,1,0,1,0,1,1,1,0,0,1,1,8,Light pressure; Remote/off-trail; Infrequent stocking; Good depth; Good elevation; Good size; Cutthroats; Good habitat
WR-17,Lower Rock,White Rocks Drainage,10600,19.2,39,"Brookies, Cutthroats",Moderate,1,0,1,1,0,1,1,1,0,0,1,1,8,"Light pressure, Natural repro, Infrequent stocking, Big fish potential, Good depth, Good elevation, Good size, Cutthroat, Good habitat"
WR-45,Pearl,White Rocks Drainage,10700,7.9,15,"Brookies*, Cutthroats",Low,1,0,1,1,0,1,1,1,0,0,1,1,8,"Light pressure, Natural repro, Infrequent stocking, Good depth, Good elevation, Good size, Cutthroat, Good habitat"
Z-44,Allen,Rock Creek Drainage,10390,15.2,16,"Brookies, Grayling",Low,1,1,1,0,0,1,1,1,0,1,0,1,8,Light pressure; Remote/off-trail; Natural repro; Good depth; Good elevation; Good size; Grayling; Good habitat
A-11,Azure,Provo River Drainage,10140,9.0,23,Grayling,Low,1,0,0,1,0,1,1,1,0,1,0,1,7,Light pressure; Infrequent stocking; Big fish potential; Good depth; Good elevation; Good size; Grayling; Good habitat
A-14,Fire,Provo River Drainage,10200,9.0,59,"Cutthroats, Tigers*",Moderate,0,1,0,1,0,0,1,1,1,0,1,1,7,Remote/off-trail; Infrequent stocking; Good elevation; Good size; Tigers; Cutthroats; Good habitat
A-56,Junior,Provo River Drainage,10200,2.8,11,"Cutthroats, Tigers",Low,1,1,0,0,0,0,1,1,1,0,1,1,7,Light pressure; Remote/off-trail; Good elevation; Good size; Tigers; Cutthroats; Good habitat
BR-10,Beaver,Bear River Drainage,9420,13.2,32,"Brookies*, Brown Trout*, Cutthroats, Rainbows, Tigers",Moderate,0,1,0,0,0,1,1,1,1,0,1,1,7,Remote/off-trail; Big fish potential; Good depth (32ft); Good elevation; Good size (13.2ac); Tigers; Cutthroat; Good habitat
BR-20,Kermsuh,Bear River Drainage,10300,11.8,14,Cutthroats,Low,1,1,1,0,0,0,1,1,0,0,1,1,7,Light pressure; Remote/off-trail; Natural repro; Good elevation; Good size (11.8ac); Cutthroat; Good habitat
BR-3,Whiskey Island Lake,Bear River Drainage,10340,5.0,19,Grayling,Low,1,1,0,0,0,1,1,1,0,1,0,1,7,Light pressure; Remote/off-trail; Good depth (19ft); Good elevation; Good size (5.0ac); Grayling; Good habitat
BR-37,Cutthroat,Bear River Drainage,10390,3.4,16,"Cutthroats, Tigers",Moderate,0,1,0,0,0,1,1,1,1,0,1,1,7,Remote/off-trail; Good depth (16ft); Good elevation; Good size (3.4ac); Tigers; Cutthroat; Good habitat
BR-42,Allsop,Bear River Drainage,10580,12.5,22,Cutthroats,Moderate,0,1,1,0,0,1,1,1,0,0,1,1,7,Remote/off-trail; Natural repro; Good depth (22ft); Good elevation; Good size (12.5ac); Cutthroat; Good habitat
BR-44,,Bear River Drainage,10900,3.5,15,Tigers,Low,1,1,0,1,0,1,0,1,1,0,0,1,7,Light pressure; Remote/off-trail; Infrequent stocking; Big fish potential; Good depth (15ft); Good size (3.5ac); Tigers; Good habitat
BR-46,Lorena,Bear River Drainage,10580,12.8,20,Brookies,Low,1,1,0,1,0,1,1,1,0,0,0,1,7,Light pressure; Remote/off-trail; Infrequent stocking; Good depth (20ft); Good elevation; Good size (12.8ac); Good habitat
D-11,Hades,Duchesne River Drainage,9980,6.4,32,"Brookies, Rainbows",Low,1,1,1,0,0,1,1,1,0,0,0,1,7,Light pressure; Remote/off-trail; Natural repro; Good depth (32ft); Good elevation; Good size (6.4ac); Good habitat
DG-3,Crow,Dry Gulch Drainage,10350,18.0,26,Cutthroats,Moderate,0,1,0,1,0,1,1,1,0,0,1,1,7,"remote/off-trail, infrequent stocking, good depth (26ft), good elev (10350ft), good size (18.0ac), cutthroat, good habitat"
G-6,Sawmill,Henrys Fork Drainage,10661,7.2,21,"Brookies, Cutthroats",High,0,1,1,0,0,1,1,1,0,0,1,1,7,"remote/off-trail, natural repro, big fish potential, good depth (21ft), good elev (10661ft), good size (7.2ac), cutthroat, good habitat"
GR-101,Mystery,Sheep/Carter Creek Drainages,9750,10.2,25,"Brookies*, Cutthroats",Moderate,1,0,0,1,0,1,1,1,0,0,1,1,7,"light pressure, infrequent stocking, good depth (25ft), good elev (9750ft), good size (10.2ac), cutthroat, good habitat"
GR-104,,Ashley Creek Drainage,,4.3,19,"Grayling, Trout*",Low,1,1,0,1,0,1,0,1,0,1,0,1,7,"Light pressure, Remote/off-trail, Infrequent stocking, Good depth, Good size, Grayling, Good habitat"
GR-112,Hidden,Sheep/Carter Creek Drainages,10270,4.3,8,"Brookies, Cutthroats",Low,1,1,0,1,0,0,1,1,0,0,1,1,7,"light pressure, remote/off-trail, infrequent stocking, big fish potential, good elev (10270ft), good size (4.3ac), cutthroat, good habitat"
GR-115,Gail,Sheep/Carter Creek Drainages,10420,4.5,25,Cutthroats,Low,1,0,0,1,0,1,1,1,0,0,1,1,7,"light pressure, infrequent stocking, good depth (25ft), good elev (10420ft), good size (4.5ac), cutthroat, good habitat"
GR-130,Snow,Burnt Fork Drainage,10550,9.4,35,Cutthroats,Low,1,0,0,1,0,1,1,1,0,0,1,1,7,"light pressure, infrequent stocking, good depth (35ft), good elev (10550ft), good size (9.4ac), cutthroat, good habitat"
GR-15,Sesame,Ashley Creek Drainage,10780,6.0,7,"Brookies*, Grayling*",Low,1,0,1,1,0,0,1,1,0,1,0,1,7,"Light pressure, Natural repro, Infrequent stocking, Good elevation, Good size, Grayling, Good habitat"
GR-18,Ewe,Sheep/Carter Creek Drainages,10750,3.0,10,Grayling,Low,1,1,0,1,0,0,1,1,0,1,0,1,7,"light pressure, remote/off-trail, infrequent stocking, good elev (10750ft), good size (3.0ac), grayling, good habitat"
GR-20,,Ashley Creek Drainage,10355,5.7,8,"Brookies*, Tigers",Low,1,0,1,1,0,0,1,1,1,0,0,1,7,"Light pressure, Natural repro, Infrequent stocking, Good elevation, Good size, Tigers, Good habitat"
GR-22,Bummer,Sheep/Carter Creek Drainages,10350,1.9,6,"Brookies*, Cutthroats, Grayling*",Low,1,1,0,1,0,0,1,0,0,1,1,1,7,"light pressure, remote/off-trail, infrequent stocking, good elev (10350ft), grayling, cutthroat, good habitat"
GR-23,Mutton,Ashley Creek Drainage,10570,3.8,10,"Brookies*, Cutthroats",Low,1,1,0,1,0,0,1,1,0,0,1,1,7,"Light pressure, Remote/off-trail, Infrequent stocking, Good elevation, Good size, Cutthroat, Good habitat"
GR-27,Lower Potter,Sheep/Carter Creek Drainages,10130,3.4,16,Brookies,Moderate,1,1,1,0,0,1,1,1,0,0,0,1,7,"light pressure, remote/off-trail, natural repro, big fish potential, good depth (16ft), good elev (10130ft), good size (3.4ac), good habitat"
GR-30,Upper Teepee,Sheep/Carter Creek Drainages,9430,6.5,28,"Cutthroats*, Grayling*, Tigers",Moderate,0,0,0,1,0,1,1,1,1,1,0,1,7,"infrequent stocking, good depth (28ft), good elev (9430ft), good size (6.5ac), tigers, grayling, good habitat"
GR-33,Red Lake,Sheep/Carter Creek Drainages,9850,20.9,57,"Brookies*, Cutthroats, Grayling, Tiger muskie, Tigers",Low,1,0,0,1,0,0,1,0,1,1,1,1,7,"light pressure, infrequent stocking, big fish potential, good elev (9850ft), tigers, grayling, cutthroat, good habitat"
GR-34,Lakeshore,Ashley Creek Drainage,10792,11.1,18,"Brookies*, Cutthroats*, Tiger muskie, Tigers*",Moderate,0,0,0,1,0,1,1,1,1,0,1,1,7,"Infrequent stocking, Big fish potential, Good depth, Good elevation, Good size, Tigers, Cutthroat, Good habitat"
GR-43,Goose #2,Ashley Creek Drainage,10252,19.4,15,"Brookies*, Cutthroats*",Low,0,0,1,1,0,1,1,1,0,0,1,1,7,"Natural repro, Infrequent stocking, Good depth, Good elevation, Good size, Cutthroat, Good habitat"
GR-57,Fish,Ashley Creek Drainage,10745,17.5,40,Cutthroats,High,0,1,1,0,0,1,1,1,0,0,1,1,7,"Remote/off-trail, Natural repro, Big fish potential, Good depth, Good elevation, Good size, Cutthroat, Good habitat"
GR-6,Dagget,Sheep/Carter Creek Drainages,10462,42.6,29,"Cutthroats, Grayling*, Rainbows*, Tigers*",High,0,0,0,1,0,1,1,0,1,1,1,1,7,"infrequent stocking, big fish potential, good depth (29ft), good elev (10462ft), tigers, grayling, cutthroat, good habitat"
GR-7,Hidden,Sheep/Carter Creek Drainages,10380,8.5,26,"Brookies, Cutthroats*",Low,1,1,0,1,0,1,1,1,0,0,0,1,7,"light pressure, remote/off-trail, infrequent stocking, good depth (26ft), good elev (10380ft), good size (8.5ac), good habitat"
RC-11,Sea Lion,Rock Creek Drainage,10385,7.9,11,Cutthroats,Low,1,1,0,1,0,0,1,1,0,0,1,1,7,Light pressure; Remote/off-trail; Infrequent stocking; Good elevation; Good size; Cutthroats; Good habitat
RC-42,Cabin,Rock Creek Drainage,10450,4.3,16,Brookies,Low,1,0,0,1,1,1,1,1,0,0,0,1,7,Light pressure; Infrequent stocking; Big fish potential; Good depth; Good elevation; Good size; Good habitat
RC-45,Audrey,Rock Creek Drainage,10021,13.2,25,Brookies,Low,1,1,0,1,0,1,1,1,0,0,0,1,7,Light pressure; Remote/off-trail; Infrequent stocking; Good depth; Good elevation; Good size; Good habitat
W-34,Adax,Weber River Drainage,9700,5.0,10,Cutthroats,Low,1,1,1,0,0,0,1,1,0,0,1,1,7,Light pressure; Remote/off-trail; Natural repro; Good elevation; Good size; Cutthroats; Good habitat
W-48,Round,Weber River Drainage,9940,5.0,36,"Cutthroats, Grayling",Moderate,0,0,1,0,0,1,1,1,0,1,1,1,7,Natural repro; Good depth; Good elevation; Good size; Grayling; Cutthroats; Good habitat
WR-14,Upper Rock,White Rocks Drainage,10562,33.4,28,Cutthroats,Low,1,1,0,1,0,1,1,0,0,0,1,1,7,"Light pressure, Remote/off-trail, Infrequent stocking, Big fish potential, Good depth, Good elevation, Cutthroat, Good habitat"
WR-40,Wooley,White Rocks Drainage,10680,20.5,42,"Brookies, Tigers*",Moderate,1,0,1,1,0,1,1,0,1,0,0,1,7,"Light pressure, Natural repro, Infrequent stocking, Good depth, Good elevation, Tigers, Good habitat"
WR-42,Sand,White Rocks Drainage,10435,6.2,5,"Brookies*, Cutthroats",Low,1,0,1,1,0,0,1,1,0,0,1,1,7,"Light pressure, Natural repro, Infrequent stocking, Good elevation, Good size, Cutthroat, Good habitat"
WR-5,Ogden,White Rocks Drainage,10900,13.9,21,"Brookies, Cutthroats",Low,1,1,0,1,0,1,0,1,0,0,1,1,7,"Light pressure, Remote/off-trail, Infrequent stocking, Good depth, Good size, Cutthroat, Good habitat"
WR-52,Papoose,White Rocks Drainage,10607,16.8,22,"Brookies, Cutthroats",Moderate,0,0,1,1,0,1,1,1,0,0,1,1,7,"Natural repro, Infrequent stocking, Big fish potential, Good depth, Good elevation, Good size, Cutthroat, Good habitat"
WR-54,Wigwam,White Rocks Drainage,10625,16.7,14,"Brookies, Cutthroats",Moderate,0,1,1,1,0,0,1,1,0,0,1,1,7,"Remote/off-trail, Natural repro, Infrequent stocking, Big fish potential, Good elevation, Good size, Cutthroat, Good habitat"
X-100,Young,Rock Creek Drainage,10310,4.0,19,Cutthroats,Low,1,0,0,1,0,1,1,1,0,0,1,1,7,Light pressure; Infrequent stocking; Good depth; Good elevation; Good size; Cutthroats; Good habitat
X-125,Reconnaissance,Rock Creek Drainage,11145,8.8,30,"Brookies, Cutthroats",Low,1,1,1,0,0,1,0,1,0,0,1,1,7,Light pressure; Remote/off-trail; Natural repro; Good depth; Good size; Cutthroats; Good habitat
X-15,Doc's,Rock Creek Drainage,9882,14.5,45,Brookies,Low,1,1,0,1,0,1,1,1,0,0,0,1,7,Light pressure; Remote/off-trail; Infrequent stocking; Big fish potential; Good depth; Good elevation; Good size; Good habitat
X-32,Big Dog,Lake Fork Drainage,10117,6.0,12,Grayling,Low,1,1,0,1,0,0,1,1,0,1,0,1,7,Light pressure; Remote/off-trail; Infrequent stocking; Big fish potential; Good elevation; Good size (6.0ac); Grayling; Good habitat
X-34,Island,Lake Fork Drainage,10250,66.0,48,"Cutthroats, Tigers",High,0,1,0,1,0,1,1,0,1,0,1,1,7,Remote/off-trail; Infrequent stocking; Big fish potential; Good depth (48ft); Good elevation; Tigers; Cutthroat; Good habitat
X-36,Tworoose,Lake Fork Drainage,10310,21.9,37,Cutthroats,Moderate,1,1,1,0,0,1,1,0,0,0,1,1,7,Light pressure; Remote/off-trail; Natural repro; Good depth (37ft); Good elevation; Cutthroat; Good habitat
X-56,Grayling,Swift Creek Drainage,9980,8.5,33,Brookies,High,0,1,1,1,0,1,1,1,0,0,0,1,7,"remote/off-trail, natural repro, infrequent stocking, big fish potential, good depth (33ft), good elev (9980ft), good size (8.5ac), good habitat"
X-77,Twin,Lake Fork Drainage,10594,12.9,15,Brookies,Low,1,1,0,1,0,1,1,1,0,0,0,1,7,Light pressure; Remote/off-trail; Infrequent stocking; Good depth (15ft); Good elevation; Good size (12.9ac); Good habitat
X-78,,Lake Fork Drainage,10636,17.0,18,Cutthroats,Low,1,0,0,1,0,1,1,1,0,0,1,1,7,Light pressure; Infrequent stocking; Good depth (18ft); Good elevation; Good size (17.0ac); Cutthroat; Good habitat
X-79,Stewart,Lake Fork Drainage,10530,9.2,22,"Brookies*, Chub, Cutthroats",Low,1,0,0,1,0,1,1,1,0,0,1,1,7,Light pressure; Infrequent stocking; Good depth (22ft); Good elevation; Good size (9.2ac); Cutthroat; Good habitat
X-80,,Lake Fork Drainage,10580,4.6,5,"Brookies, Cutthroats",Low,1,1,1,0,0,0,1,1,0,0,1,1,7,Light pressure; Remote/off-trail; Natural repro; Big fish potential; Good elevation; Good size (4.6ac); Cutthroat; Good habitat
X-81,Hook,Lake Fork Drainage,10722,21.0,19,Brookies,Low,1,1,1,1,0,1,1,0,0,0,0,1,7,Light pressure; Remote/off-trail; Natural repro; Infrequent stocking; Good depth (19ft); Good elevation; Good habitat
X-89,,Lake Fork Drainage,11110,3.4,19,Unknown,Low,1,1,1,1,0,1,0,1,0,0,0,1,7,Light pressure; Remote/off-trail; Natural repro; Infrequent stocking; Big fish potential; Good depth (19ft); Good size (3.4ac); Good habitat
Z-23,Margo,Rock Creek Drainage,10420,11.1,29,Cutthroats,Low,1,0,0,1,0,1,1,1,0,0,1,1,7,Light pressure; Infrequent stocking; Good depth; Good elevation; Good size; Cutthroats; Good habitat
Z-46,Bedground,Rock Creek Drainage,10500,2.0,15,"Brookies, Grayling",Moderate,0,0,0,1,1,1,1,1,0,1,0,1,7,Infrequent stocking; Big fish potential; Good depth; Good elevation; Good size; Grayling; Good habitat
Z-9,Shepard,Duchesne River Drainage,9980,14.2,32,"Brookies, Cutthroats, Rainbows",High,0,1,1,0,0,1,1,1,0,0,1,1,7,Remote/off-trail; Natural repro; Big fish potential; Good depth (32ft); Good elevation; Good size (14.2ac); Cutthroat; Good habitat
A-12,Marjorie,Provo River Drainage,9980,13.0,16,Grayling,High,0,0,1,0,0,1,1,1,0,1,0,1,6,Natural repro; Big fish potential; Good depth; Good elevation; Good size; Grayling; Good habitat
A-15,Hidden,Provo River Drainage,9760,8.2,25,Brookies,Moderate,0,1,0,1,0,1,1,1,0,0,0,1,6,Remote/off-trail; Infrequent stocking; Good depth; Good elevation; Good size; Good habitat
A-17,Beaver,Provo River Drainage,9900,3.5,15,Brookies,Low,1,1,0,0,0,1,1,1,0,0,0,1,6,Light pressure; Remote/off-trail; Good depth; Good elevation; Good size; Good habitat
A-34,Cliff,Provo River Drainage,10230,9.0,20,"Cutthroats, Tigers",High,0,0,0,0,0,1,1,1,1,0,1,1,6,Big fish potential; Good depth; Good elevation; Good size; Tigers; Cutthroats; Good habitat
A-60,Teapot,Provo River Drainage,9950,13.0,46,"Brookies, Cutthroats, Grayling, Rainbows, Tigers",High,0,0,0,0,0,1,1,1,1,1,1,0,6,Big fish potential; Good depth; Good elevation; Good size; Tigers; Grayling; Cutthroats
A-7,Duck,Provo River Drainage,9780,12.7,15,"Brookies, Cutthroats",High,0,0,1,0,0,1,1,1,0,0,1,1,6,Natural repro; Big fish potential; Good depth; Good elevation; Good size; Cutthroats; Good habitat
BR-47,Norice,Bear River Drainage,10470,3.2,3,Cutthroats,Moderate,0,1,1,0,0,0,1,1,0,0,1,1,6,Remote/off-trail; Natural repro; Good elevation; Good size (3.2ac); Cutthroat; Good habitat
D-14,Castle,Duchesne River Drainage,10300,1.0,12,"Cutthroats, Tigers",Moderate,0,1,0,1,0,0,1,0,1,0,1,1,6,Remote/off-trail; Infrequent stocking; Good elevation; Tigers; Cutthroat; Good habitat
D-40,Broadhead,Duchesne River Drainage,9960,8.8,16,Brookies,Low,1,0,1,0,0,1,1,1,0,0,0,1,6,Light pressure; Natural repro; Good depth (16ft); Good elevation; Good size (8.8ac); Good habitat
DF-18,Paul,Ashley Creek Drainage,10630,11.1,17,Brookies,Low,1,0,0,1,1,1,1,1,0,0,0,0,6,"Light pressure, Infrequent stocking, Good depth, Good elevation, Good size"
DG-25,Upper Lily Pad,Dry Gulch Drainage,10280,12.0,37,"Brookies, Cutthroats",High,0,1,0,0,0,1,1,1,0,0,1,1,6,"remote/off-trail, big fish potential, good depth (37ft), good elev (10280ft), good size (12.0ac), cutthroat, good habitat"
DG-27,Hidden,Dry Gulch Drainage,9520,10.0,39,Brookies,Low,1,0,0,1,0,1,1,1,0,0,0,1,6,"light pressure, infrequent stocking, good depth (39ft), good elev (9520ft), good size (10.0ac), good habitat"
DG-6,,Dry Gulch Drainage,10550,3.0,5,Cutthroats,Low,1,0,0,1,0,0,1,1,0,0,1,1,6,"light pressure, infrequent stocking, good elev (10550ft), good size (3.0ac), cutthroat, good habitat"
G-14,Smiths Fork Pass,Smiths Fork Drainage,11152,26.1,17,"Cutthroats, Tigers",Low,1,1,0,0,0,1,0,0,1,0,1,1,6,light pressure; remote/off-trail; big fish potential; good depth (17ft); tigers; cutthroat; good habitat
G-18,Hessie,Smiths Fork Drainage,10620,13.2,18,"Brookies*, Cutthroats, Tigers",Moderate,0,0,0,0,0,1,1,1,1,0,1,1,6,big fish potential; good depth (18ft); good elev (10620ft); good size (13.2ac); tigers; cutthroat; good habitat
G-38,Alligator,Henrys Fork Drainage,10033,14.5,26,"Brookies, Cutthroats",High,0,0,1,0,0,1,1,1,0,0,1,1,6,"natural repro, good depth (26ft), good elev (10033ft), good size (14.5ac), cutthroat, good habitat"
G-49,,Smiths Fork Drainage,10830,3.9,11,"Brookies, Cutthroats, Rainbows",Low,1,1,1,0,0,0,0,1,0,0,1,1,6,light pressure; remote/off-trail; natural repro; good size (3.9ac); cutthroat; good habitat
G-51,,Smiths Fork Drainage,10620,8.1,5,Brookies,Low,1,0,1,1,0,0,1,1,0,0,0,1,6,light pressure; natural repro; infrequent stocking; big fish potential; good elev (10620ft); good size (8.1ac); good habitat
G-59,,Smiths Fork Drainage,10740,3.2,24,Brookies,Low,1,0,1,0,0,1,1,1,0,0,0,1,6,light pressure; natural repro; good depth (24ft); good elev (10740ft); good size (3.2ac); good habitat
G-60,,Smiths Fork Drainage,10500,2.5,9,"Brookies, Tigers",Moderate,1,0,0,1,0,0,1,1,1,0,0,1,6,light pressure; infrequent stocking; big fish potential; good elev (10500ft); good size (2.5ac); tigers; good habitat
G-63,Bald,Smiths Fork Drainage,11030,6.4,23,Brookies,Low,1,1,1,0,0,1,0,1,0,0,0,1,6,light pressure; remote/off-trail; natural repro; big fish potential; good depth (23ft); good size (6.4ac); good habitat
G-64,,Smiths Fork Drainage,10470,3.4,5,"Cutthroats, Tigers",Low,1,0,0,0,0,0,1,1,1,0,1,1,6,light pressure; good elev (10470ft); good size (3.4ac); tigers; cutthroat; good habitat
GR-116,Columbine,Sheep/Carter Creek Drainages,10550,5.7,5,"Brookies, Tigers",Low,1,0,0,1,0,0,1,1,1,0,0,1,6,"light pressure, infrequent stocking, good elev (10550ft), good size (5.7ac), tigers, good habitat"
GR-127,Burnt Fork Lake,Burnt Fork Drainage,10630,9.8,25,Cutthroats,Moderate,0,0,1,0,0,1,1,1,0,0,1,1,6,"natural repro, good depth (25ft), good elev (10630ft), good size (9.8ac), cutthroat, good habitat"
GR-128,Crystal,Burnt Fork Drainage,10380,5.4,5,"Brookies, Cutthroats",Low,0,1,1,0,0,0,1,1,0,0,1,1,6,"remote/off-trail, natural repro, good elev (10380ft), good size (5.4ac), cutthroat, good habitat"
GR-134,Lower Bennion,Burnt Fork Drainage,10950,7.7,13,"Brookies, Cutthroats",Low,1,0,1,1,0,0,0,1,0,0,1,1,6,"light pressure, natural repro, infrequent stocking, big fish potential, good size (7.7ac), cutthroat, good habitat"
GR-140,Kabell,Burnt Fork Drainage,10348,14.7,23,Cutthroats,Moderate,0,0,0,1,0,1,1,1,0,0,1,1,6,"infrequent stocking, big fish potential, good depth (23ft), good elev (10348ft), good size (14.7ac), cutthroat, good habitat"
GR-144,Coffin,Beaver Creek Drainage,10853,25.8,28,"Cutthroats, Tigers",Low,1,1,0,0,0,1,0,0,1,0,1,1,6,"light pressure, remote/off-trail, good depth (28ft), tigers, cutthroat, good habitat"
GR-145,,Beaver Creek Drainage,11020,5.6,11,"Cutthroats, Grayling",Low,0,1,0,1,0,0,0,1,0,1,1,1,6,"remote/off-trail, infrequent stocking, good size (5.6ac), grayling, cutthroat, good habitat"
GR-148,Dine,Beaver Creek Drainage,10460,5.1,15,Brookies,Low,0,1,1,0,0,1,1,1,0,0,0,1,6,"remote/off-trail, natural repro, good depth (15ft), good elev (10460ft), good size (5.1ac), good habitat"
GR-161,,Beaver Creek Drainage,9250,4.3,41,Brookies,Low,0,1,0,1,0,1,1,1,0,0,0,1,6,"remote/off-trail, infrequent stocking, good depth (41ft), good elev (9250ft), good size (4.3ac), good habitat"
GR-17,Candy,Sheep/Carter Creek Drainages,,5.5,,"Cutthroats, Grayling*, Tigers*",,0,0,0,1,0,0,0,1,1,1,1,1,6,"infrequent stocking, good size (5.5ac), tigers, grayling, cutthroat, good habitat"
GR-25,Judy,Sheep/Carter Creek Drainages,10830,4.7,24,"Brookies, Tigers",Low,1,0,0,1,0,1,0,1,1,0,0,1,6,"light pressure, infrequent stocking, good depth (24ft), good size (4.7ac), tigers, good habitat"
GR-31,,Ashley Creek Drainage,9270,6.0,6,"Brookies*, Cutthroats",Low,1,0,0,1,0,0,1,1,0,0,1,1,6,"Light pressure, Infrequent stocking, Good elevation, Good size, Cutthroat, Good habitat"
GR-32,One Fish,Sheep/Carter Creek Drainages,9350,4.5,35,"Brookies, Grayling",Low,1,0,0,0,0,1,1,1,0,1,0,1,6,"light pressure, big fish potential, good depth (35ft), good elev (9350ft), good size (4.5ac), grayling, good habitat"
GR-35,Ashley Twin Reservoir,Ashley Creek Drainage,10332,25.0,18,"Brookies, Cutthroats*",Moderate,0,1,1,0,0,1,1,0,0,0,1,1,6,"Remote/off-trail, Natural repro, Big fish potential, Good depth, Good elevation, Cutthroat, Good habitat"
GR-39,Marsh,Ashley Creek Drainage,10820,12.6,21,"Brookies, Goldens*, Rainbows*",Moderate,0,1,1,1,0,1,0,1,0,0,0,1,6,"Remote/off-trail, Natural repro, Infrequent stocking, Good depth, Good size, Good habitat"
GR-4,Lost,Sheep/Carter Creek Drainages,10300,3.2,7,Cutthroats,Low,1,0,0,1,0,0,1,1,0,0,1,1,6,"light pressure, infrequent stocking, good elev (10300ft), good size (3.2ac), cutthroat, good habitat"
