UINTA MOUNTAINS LAKE DATABASE DUMP
==================================================

Total Lakes: 669


--- Ashley Creek Drainage ---
DF-1     | Blue                      | 6.5ac    | 16ft   | Moderate | [Norrick]
GR-164   | (No name)                 | ?ac      | ?ft    | ?        | 
GR-172   | (No name)                 | 3.6ac    | 15ft   | Low      | [Norrick]
GR-173   | (No name)                 | 3.9ac    | 27ft   | Low      | [Norrick]
GR-175   | (No name)                 | 18.3ac   | 11ft   | Low      | [Norrick]
GR-177   | (No name)                 | ?ac      | ?ft    | ?        | 
GR-178   | (No name)                 | ?ac      | ?ft    | ?        | 
GR-179   | (No name)                 | 5.5ac    | 11ft   | Low      | [Norrick]

--- Blacks Fork Drainage ---
G-100    | (No name)                 | 7.9ac    | 13ft   | Low      | [Norrick]
G-102    | Moslander                 | 11.4ac   | 29ft   | Low      | [Norrick]
G-103    | QUARTER CORNER LG103      | ?ac      | ?ft    | ?        | 
G-11     | Castle                    | 11.5ac   | 10ft   | Low      | [Norrick]
G-113    | (No name)                 | ?ac      | ?ft    | ?        | 
G-25     | Little Lyman              | 5.0ac    | 25ft   | High     | [Norrick]
G-27     | Lyman                     | 36.6ac   | 30ft   | Moderate | [Norrick]
G-32     | Grahams                   | 18.5ac   | 25ft   | Unknown  | [Norrick]
G-36     | (No name)                 | 4.7ac    | 11ft   | Low      | [Norrick]
G-37     | Duck                      | 5.9ac    | 5ft    | Moderate | [Norrick]
G-39     | (No name)                 | 2.6ac    | 7ft    | Low      | [Norrick]
G-40     | G- 40                     | ?ac      | ?ft    | ?        | 
G-44     | (No name)                 | 1.5ac    | 7ft    | Low      | [Norrick]
G-58     | (No name)                 | 1.3ac    | 5ft    | Low      | [Norrick]
G-62     | (No name)                 | 2.2ac    | 7ft    | Low      | [Norrick]
G-64     | (No name)                 | 3.4ac    | 5ft    | Low      | [Norrick]
G-65     | (No name)                 | 5.0ac    | 5ft    | Moderate | [Norrick]
G-66     | (No name)                 | 4.0ac    | 12ft   | Moderate | [Norrick]
G-67     | (No name)                 | 7.7ac    | 25ft   | Low      | [Norrick]
G-68     | G- 68                     | ?ac      | ?ft    | ?        | 
G-69     | (No name)                 | 4.8ac    | 13ft   | Low      | [Norrick]
G-70     | (No name)                 | 3.8ac    | 4ft    | Low      | [Norrick]
G-71     | (No name)                 | 4.8ac    | 14ft   | n/a      | [Norrick]
G-72     | (No name)                 | 1.3ac    | 6ft    | Low      | [Norrick]
G-73     | Bobs                      | 6.6ac    | 30ft   | Low      | [Norrick]
G-74     | (No name)                 | 3.4ac    | 3ft    | Low      | [Norrick]
G-76     | Ejod                      | 6.7ac    | 12ft   | Low      | [Norrick]
G-77     | Dead Horse                | 16.0ac   | 41ft   | Moderate | [Norrick]
G-78     | (No name)                 | 3.2ac    | 9ft    | Low      | [Norrick]
G-79     | (No name)                 | 2.5ac    | 5ft    | Low      | [Norrick]
G-80     | (No name)                 | 1.8ac    | 8ft    | Low      | [Norrick]
G-81     | (No name)                 | 1.6ac    | 5ft    | Low      | [Norrick]
G-82     | (No name)                 | 3.8ac    | 6ft    | Low      | [Norrick]
G-86     | (No name)                 | 6.4ac    | 7ft    | Low      | [Norrick]

--- Burnt Fork Drainage ---
GR-125   | Fish                      | 38.3ac   | 23ft   | Moderate | [Norrick]
GR-126   | (No name)                 | 6.0ac    | 11ft   | Moderate | [Norrick]
GR-127   | Burnt Fork Lake           | 9.8ac    | 25ft   | Moderate | [Norrick]
GR-128   | (No name)                 | 5.4ac    | 5ft    | Low      | [Norrick]
GR-130   | (No name)                 | 9.4ac    | 35ft   | Low      | [Norrick]
GR-131   | Round                     | 24.3ac   | 38ft   | Moderate | [Norrick]
GR-132   | Island                    | 117.8ac  | 34ft   | High     | [Norrick]
GR-133   | (No name)                 | 14.5ac   | 3ft    | Low      | [Norrick]
GR-134   | Bennion                   | 7.7ac    | 13ft   | Low      | [Norrick]
GR-135   | (No name)                 | 2.0ac    | 3ft    | Low      | [Norrick]
GR-137   | (No name)                 | ?ac      | ?ft    | ?        | 
GR-140   | Kabell                    | 14.7ac   | 23ft   | Moderate | [Norrick]
GR-143   | Hoop Lake                 | ?ac      | ?ft    | ?        | 

--- Dry Gulch Drainage ---
DG-1     | (No name)                 | ?ac      | ?ft    | ?        | 
DG-10    | (No name)                 | 10.0ac   | 12ft   | Low      | [Norrick]
DG-14    | (No name)                 | 2.0ac    | 10ft   | Low      | [Norrick]
DG-15    | (No name)                 | 3.0ac    | 9ft    | Low      | [Norrick]
DG-16    | (No name)                 | 3.0ac    | 8ft    | Low      | [Norrick]
DG-17    | (No name)                 | 3.0ac    | 12ft   | Low      | [Norrick]
DG-25    | Upper Lily Pad            | 12.0ac   | 37ft   | High     | [Norrick]
DG-26    | Lower Lily Pad            | 9.0ac    | 11ft   | Low      | [Norrick]
DG-27    | Hidden                    | 10.0ac   | 39ft   | Low      | [Norrick]
DG-28    | Heller Reservoir          | 12.0ac   | 37ft   | High     | [Norrick]
DG-29    | (No name)                 | ?ac      | ?ft    | ?        | 
DG-3     | Crow                      | 18.0ac   | 26ft   | Moderate | [Norrick]
DG-30    | (No name)                 | ?ac      | ?ft    | ?        | 
DG-4     | (No name)                 | ?ac      | ?ft    | ?        | 
DG-5     | (No name)                 | ?ac      | ?ft    | ?        | 
DG-6     | (No name)                 | 3.0ac    | 5ft    | Low      | [Norrick]
DG-7     | (No name)                 | 6.0ac    | 4ft    | Low      | [Norrick]
DG-8     | (No name)                 | 7.0ac    | 8ft    | Low      | [Norrick]
DG-9     | (No name)                 | 10.0ac   | 27ft   | Low      | [Norrick]
U-96     | Bollie                    | 10.0ac   | 15ft   | Low      | [Norrick]

--- Duchesne Drainage ---
D-1      | Faxon                     | ?ac      | ?ft    | ?        | 
D-10     | (No name)                 | ?ac      | ?ft    | ?        | 
D-11     | Hades                     | 6.4ac    | 32ft   | Low      | [Norrick]
D-12     | Gatman                    | ?ac      | ?ft    | ?        | 
D-14     | Castle                    | 1.0ac    | 12ft   | Moderate | [Norrick]
D-15     | Tadpole                   | ?ac      | ?ft    | ?        | 
D-19     | (No name)                 | 1.2ac    | 6ft    | Moderate | [Norrick]
D-20     | Emerald                   | ?ac      | ?ft    | ?        | 
D-25     | Blizzard                  | 19.0ac   | 36ft   | Moderate | [Norrick]
D-26     | (No name)                 | 3.0ac    | 10ft   | Moderate | [Norrick]
D-3      | Twin #1                   | ?ac      | ?ft    | ?        | 
D-30     | (No name)                 | ?ac      | ?ft    | ?        | 
D-32     | (No name)                 | ?ac      | ?ft    | ?        | 
D-33     | Iron Mine                 | ?ac      | ?ft    | ?        | 
D-34     | (No name)                 | ?ac      | ?ft    | ?        | 
D-36     | Everman                   | ?ac      | ?ft    | ?        | 
D-4      | Twin #2                   | ?ac      | ?ft    | ?        | 
D-40     | Broadhead                 | 8.8ac    | 16ft   | Low      | [Norrick]
D-5      | (No name)                 | ?ac      | ?ft    | ?        | 
X-11     | Marsell                   | 16.4ac   | 50ft   | Moderate | [Norrick]
X-12     | Sonny                     | 5.0ac    | 13ft   | Low      | [Norrick]
X-14     | Farney                    | 12.6ac   | 14ft   | Low      | [Norrick]
Z-1      | Butterfly                 | 4.3ac    | 13ft   | High     | [Norrick]
Z-10     | Hoover                    | 18.6ac   | 28ft   | High     | [Norrick]
Z-11     | Marshall                  | 18.0ac   | 36ft   | High     | [Norrick]
Z-12     | Scout                     | 30.0ac   | 17ft   | High     | [Norrick]
Z-13     | Wilder                    | 3.7ac    | 14ft   | High     | [Norrick]
Z-14     | Wyman                     | 6.5ac    | 17ft   | Moderate | [Norrick]
Z-15     | Packard                   | 4.5ac    | 10ft   | High     | [Norrick]
Z-16     | Echo                      | 18.0ac   | 44ft   | Moderate | [Norrick]
Z-17     | Pyramid                   | 15.0ac   | 36ft   | High     | [Norrick]
Z-18     | Gem                       | ?ac      | ?ft    | ?        | 
Z-19     | Joan                      | 15.2ac   | 20ft   | Moderate | [Norrick]
Z-2      | Bud                       | 3.7ac    | 13ft   | Moderate | [Norrick]
Z-20     | Blythe                    | 5.0ac    | 14ft   | Moderate | [Norrick]
Z-21     | Scudder                   | ?ac      | ?ft    | ?        | 
Z-26     | Olsen                     | ?ac      | ?ft    | ?        | 
Z-27     | Morat #2                  | 3.6ac    | 5ft    | Moderate | [Norrick]
Z-3      | Mirror                    | 42.0ac   | 37ft   | High     | [Norrick]
Z-31     | Morat #1                  | 5.4ac    | 13ft   | Moderate | [Norrick]
Z-32     | Blue                      | ?ac      | ?ft    | ?        | 
Z-33     | Leconte                   | 9.5ac    | 15ft   | Moderate | [Norrick]
Z-34     | Shaler                    | 13.0ac   | 7ft    | Moderate | [Norrick]
Z-35     | Jordan                    | 23.2ac   | 30ft   | Moderate | [Norrick]
Z-37     | Hyatt                     | ?ac      | ?ft    | ?        | 
Z-4      | Moosehorn                 | 8.0ac    | 11ft   | High     | [Norrick]
Z-42     | Carolyn                   | 5.0ac    | 17ft   | Moderate | [Norrick]
Z-43     | Olga                      | ?ac      | ?ft    | ?        | 
Z-5      | Pass                      | 3.3ac    | 8ft    | Moderate | [Norrick]
Z-6      | Bonnie                    | 3.6ac    | 7ft    | High     | [Norrick]
Z-7      | Fehr                      | 5.7ac    | 27ft   | High     | [Norrick]
Z-8      | Maba                      | 4.2ac    | 20ft   | High     | [Norrick]
Z-9      | Shepard                   | 14.2ac   | 32ft   | High     | [Norrick]

--- Henry's Fork and Smith Fork Drainage ---
G-1      | Henrys Fork Lake          | 19.7ac   | 19ft   | Moderate | [Norrick]
G-10     | (No name)                 | 5.4ac    | 12ft   | Low      | [Norrick]
G-12     | Lower Red Castle          | 45.0ac   | 28ft   | Moderate | [Norrick]
G-13     | (No name)                 | 7.9ac    | 17ft   | Low      | [Norrick]
G-14     | Smiths Fork Pass          | 26.1ac   | 17ft   | Low      | [Norrick]
G-15     | Red Castle                | 168.2ac  | 103ft  | High     | [Norrick]
G-16     | Upper Red Castle          | 25.6ac   | 72ft   | Moderate | [Norrick]
G-17     | East Red Castle           | 21.1ac   | 58ft   | Moderate | [Norrick]
G-18     | Hessie                    | 13.2ac   | 18ft   | Moderate | [Norrick]
G-19     | Marsh                     | 33.6ac   | 35ft   | High     | [Norrick]
G-2      | Dollar Lake               | 9.7ac    | 18ft   | Moderate | [Norrick]
G-20     | Bridger                   | 21.0ac   | 15ft   | High     | [Norrick]
G-21     | China                     | 31.2ac   | 45ft   | Moderate | [Norrick]
G-29     | (No name)                 | ?ac      | ?ft    | ?        | 
G-3      | Blanchard                 | 31.3ac   | 29ft   | Moderate | [Norrick]
G-30     | (No name)                 | ?ac      | ?ft    | ?        | 
G-34     | (No name)                 | 1.0ac    | 6ft    | Moderate | [Norrick]
G-35     | Sargent                   | 8.3ac    | 22ft   | Low      | [Norrick]
G-38     | Alligator                 | 14.5ac   | 26ft   | High     | [Norrick]
G-4      | (No name)                 | 3.6ac    | 8ft    | Low      | [Norrick]
G-42     | (No name)                 | 4.6ac    | 2ft    | Low      | [Norrick]
G-45     | (No name)                 | 3.1ac    | 12ft   | Low      | [Norrick]
G-49     | (No name)                 | 3.9ac    | 11ft   | Low      | [Norrick]
G-5      | Cliff                     | 33.1ac   | 69ft   | Low      | [Norrick]
G-50     | (No name)                 | 3.7ac    | 5ft    | Moderate | [Norrick]
G-51     | (No name)                 | 8.1ac    | 5ft    | Low      | [Norrick]
G-52     | (No name)                 | 2.6ac    | 4ft    | Low      | [Norrick]
G-53     | (No name)                 | 5.5ac    | 17ft   | Moderate | [Norrick]
G-56     | (No name)                 | 1.5ac    | 12ft   | Low      | [Norrick]
G-59     | (No name)                 | 3.2ac    | 24ft   | Low      | [Norrick]
G-6      | Sawmill                   | 7.2ac    | 21ft   | High     | [Norrick]
G-60     | (No name)                 | 2.5ac    | 9ft    | Moderate | [Norrick]
G-61     | (No name)                 | 3.1ac    | 6ft    | Low      | [Norrick]
G-63     | Bald                      | 6.4ac    | 23ft   | Low      | [Norrick]
G-7      | Bear                      | 16.9ac   | 37ft   | Moderate | [Norrick]
G-8      | Grass                     | 5.5ac    | 4ft    | Moderate | [Norrick]
G-9      | Island                    | 10.4ac   | 5ft    | Low      | [Norrick]

--- Lake Fork Drainage ---
LF-16    | (No name)                 | 3.0ac    | 6ft    | Low      | [Norrick]
LF-18    | Cleveland                 | ?ac      | ?ft    | ?        | 
LF-21    | Lambert                   | 6.6ac    | 15ft   | Moderate | [Norrick]
LF-22    | Porcupine                 | 12.8ac   | 14ft   | Low      | [Norrick]
LF-25    | Toquer                    | 11.1ac   | 32ft   | Low      | [Norrick]
LF-30    | Oweep                     | 6.4ac    | 16ft   | Low      | [Norrick]
LF-34    | Gates                     | 5.4ac    | 20ft   | Low      | [Norrick]
LF-35    | (No name)                 | 1.0ac    | 6ft    | Low      | [Norrick]
LF-36    | Linda                     | 3.8ac    | 5ft    | Low      | [Norrick]
LF-37    | (No name)                 | 1.9ac    | 3ft    | Low      | [Norrick]
LF-43    | (No name)                 | 1.4ac    | 4ft    | Low      | [Norrick]
LF-44    | East Slide                | 5.0ac    | ?ft    | Low      | [Norrick]
LF-8     | (No name)                 | 7.0ac    | 17ft   | Low      | [Norrick]
X-31     | Brown Duck                | 30.7ac   | 12ft   | High     | [Norrick]
X-32     | Big Dog                   | 6.0ac    | 12ft   | Low      | [Norrick]
X-33     | Little Dog                | 4.5ac    | 17ft   | Low      | [Norrick]
X-34     | Island                    | 66.0ac   | 48ft   | High     | [Norrick]
X-35     | Kidney                    | 190.0ac  | 112ft  | Moderate | [Norrick]
X-36     | Tworoose                  | 21.9ac   | 37ft   | Moderate | [Norrick]
X-37     | Lilly Pad                 | 1.4ac    | 8ft    | Moderate | [Norrick]
X-45     | (No name)                 | ?ac      | ?ft    | ?        | 
X-61     | (No name)                 | 5.2ac    | 10ft   | Low      | [Norrick]
X-62     | (No name)                 | 6.0ac    | 10ft   | Low      | [Norrick]
X-63     | Aspen                     | 8.0ac    | 26ft   | Moderate | [Norrick]
X-64     | Atwine                    | 32.0ac   | 35ft   | Moderate | [Norrick]
X-66     | Mud                       | 2.5ac    | 5ft    | Low      | [Norrick]
X-67     | (No name)                 | ?ac      | ?ft    | ?        | 
X-74     | Clements                  | 79.2ac   | 50ft   | Moderate | [Norrick]
X-75     | (No name)                 | 4.4ac    | 6ft    | Low      | [Norrick]
X-77     | Twin                      | 12.9ac   | 15ft   | Low      | [Norrick]
X-78     | (No name)                 | 17.0ac   | 18ft   | Low      | [Norrick]
X-79     | Stewart                   | 9.2ac    | 22ft   | Low      | [Norrick]
X-80     | (No name)                 | 4.6ac    | 5ft    | Low      | [Norrick]
X-81     | Hook                      | 21.0ac   | 19ft   | Low      | [Norrick]
X-82     | Picture                   | 20.0ac   | 13ft   | Low      | [Norrick]
X-83     | (No name)                 | ?ac      | ?ft    | ?        | 
X-84     | (No name)                 | 4.6ac    | 18ft   | Low      | [Norrick]
X-85     | (No name)                 | 4.7ac    | 14ft   | Low      | [Norrick]
X-86     | (No name)                 | 6.9ac    | 12ft   | Low      | [Norrick]
X-87     | Ottoson Upper             | 12.4ac   | 30ft   | Low      | [Norrick]
X-88     | Ottoson Lower             | 9.1ac    | 8ft    | Low      | [Norrick]
X-89     | (No name)                 | 3.4ac    | ?ft    | Low      | [Norrick]
X-90     | Ameba                     | 4.6ac    | 4ft    | Low      | [Norrick]
X-94     | Crater                    | 28.0ac   | 147ft  | Low      | [Norrick]

--- Provo River Drainage ---
A-1      | Alexander                 | 23.0ac   | 28ft   | High     | [Norrick]
A-10     | Rock                      | 8.0ac    | 14ft   | Moderate | [Norrick]
A-11     | Azure                     | 9.0ac    | 23ft   | Low      | [Norrick]
A-12     | Marjorie                  | 13.0ac   | 16ft   | High     | [Norrick]
A-13     | Jacks                     | 1.2ac    | 23ft   | Moderate | [Norrick]
A-14     | Fire                      | 9.0ac    | 59ft   | Moderate | [Norrick]
A-15     | Hidden                    | 8.2ac    | 25ft   | Moderate | [Norrick]
A-16     | Faith                     | ?ac      | ?ft    | ?        | 
A-17     | Beaver                    | 3.5ac    | 15ft   | Low      | [Norrick]
A-18     | Big Elk                   | 30.0ac   | 85ft   | High     | [Norrick]
A-19     | Little Elk                | 13.2ac   | 31ft   | Moderate | [Norrick]
A-2      | Lambert                   | 2.0ac    | 8ft    | Low      | [Norrick]
A-20     | Brook                     | 1.1ac    | 6ft    | Moderate | [Norrick]
A-21     | Carol                     | ?ac      | ?ft    | ?        | 
A-22     | Diamond                   | 3.0ac    | 7ft    | Moderate | [Norrick]
A-23     | Washington                | 106.0ac  | 70ft   | High     | [Norrick]
A-24     | Lily Upper                | ?ac      | ?ft    | ?        | 
A-25     | Lily Lower                | 3.2ac    | 16ft   | High     | [Norrick]
A-26     | Petit (Junior #5)         | 2.0ac    | 3ft    | Moderate | [Norrick]
A-27     | Watson                    | 6.0ac    | 10ft   | Moderate | [Norrick]
A-28     | Clyde                     | 16.0ac   | 21ft   | High     | [Norrick]
A-29     | Wall                      | 80.0ac   | 97ft   | High     | [Norrick]
A-3      | Buckeye                   | 5.0ac    | 8ft    | High     | [Norrick]
A-30     | John                      | 4.0ac    | 10ft   | Moderate | [Norrick]
A-31     | James                     | 2.1ac    | 8ft    | Moderate | [Norrick]
A-32     | Twin Upper                | 9.0ac    | 13ft   | High     | [Norrick]
A-33     | Twin Lower                | 3.0ac    | 14ft   | High     | [Norrick]
A-34     | Cliff                     | 9.0ac    | 20ft   | High     | [Norrick]
A-35     | Booker                    | 4.1ac    | 8ft    | High     | [Norrick]
A-36     | Divide, #1                | 3.5ac    | 5ft    | High     | [Norrick]
A-37     | Long                      | 35.0ac   | 26ft   | High     | [Norrick]
A-38     | Ramona                    | 4.7ac    | 21ft   | Moderate | [Norrick]
A-39     | Shingle Creek East        | 7.0ac    | 44ft   | High     | [Norrick]
A-4      | Spring Canyon             | ?ac      | ?ft    | ?        | 
A-40     | Cutthroat (clint)         | 3.0ac    | 10ft   | Low      | [Norrick]
A-41     | Trident                   | 4.0ac    | 5ft    | High     | [Norrick]
A-42     | Star                      | 16.0ac   | 35ft   | High     | [Norrick]
A-43     | Lillian                   | 2.0ac    | 8ft    | Low      | [Norrick]
A-44     | Spectacle (Hourglass)     | 9.3ac    | 17ft   | Moderate | [Norrick]
A-45     | Shallow (Haystack #2)     | ?ac      | ?ft    | ?        | 
A-46     | Forks                     | ?ac      | ?ft    | ?        | 
A-47     | Clegg                     | 5.1ac    | 12ft   | Moderate | [Norrick]
A-48     | Hourglass                 | 5.7ac    | 2ft    | High     | [Norrick]
A-49     | Mona Rae                  | ?ac      | ?ft    | ?        | 
A-5      | Blue                      | 8.0ac    | 26ft   | High     | [Norrick]
A-50     | Weir                      | 7.0ac    | 13ft   | Moderate | [Norrick]
A-51     | Crystal                   | 9.8ac    | 7ft    | High     | [Norrick]
A-52     | Shadow                    | 14.0ac   | 20ft   | High     | [Norrick]
A-53     | Tail                      | 9.8ac    | 13ft   | High     | [Norrick]
A-54     | Hope                      | 2.0ac    | 5ft    | Low      | [Norrick]
A-55     | Shoestring                | ?ac      | ?ft    | ?        | 
A-56     | Junior                    | 2.8ac    | 11ft   | Low      | [Norrick]
A-57     | Island                    | 28.0ac   | 40ft   | High     | [Norrick]
A-58     | Lilly                     | 4.1ac    | 13ft   | Moderate | [Norrick]
A-59     | Lost                      | 62.0ac   | 22ft   | Moderate | [Norrick]
A-6      | Beth                      | 5.4ac    | 10ft   | High     | [Norrick]
A-60     | Teapot                    | 13.0ac   | 46ft   | High     | [Norrick]
A-61     | Trial                     | 98.0ac   | 68ft   | High     | [Norrick]
A-62     | Long Pond                 | 2.0ac    | 5ft    | Moderate | [Norrick]
A-63     | Karen                     | ?ac      | ?ft    | ?        | 
A-7      | Duck                      | 12.7ac   | 15ft   | High     | [Norrick]
A-8      | Pot                       | 4.0ac    | 28ft   | High     | [Norrick]
A-9      | Haystack                  | 17.0ac   | 29ft   | High     | [Norrick]
P-10     | (No name)                 | ?ac      | ?ft    | ?        | 
P-11     | (No name)                 | ?ac      | ?ft    | ?        | 
P-15     | (No name)                 | ?ac      | ?ft    | ?        | 
P-16     | CHARITY L                 | ?ac      | ?ft    | ?        | 
P-6      | (No name)                 | ?ac      | ?ft    | ?        | 
P-60     | Shingle Creek West        | 5.0ac    | 12ft   | Moderate | [Norrick]
